ftu,species_tag,age_tag,sex_tag,bmi_tag,age_yearold_tag,total_donor_record_count
descending limb of loop of Henle,Homo sapiens,postnatal,others,Obesity,"[35 years old, 40 years old)",1
descending limb of loop of Henle,Homo sapiens,postnatal,others,Obesity,"[45 years old, 50 years old)",1
descending limb of loop of Henle,Homo sapiens,postnatal,others,Obesity,"[65 years old, 70 years old)",1
descending limb of loop of Henle,Homo sapiens,postnatal,others,Overweight,"[40 years old, 45 years old)",1
descending limb of loop of Henle,Homo sapiens,postnatal,others,Overweight,"[65 years old, 70 years old)",1
descending limb of loop of Henle,Homo sapiens,postnatal,others,Overweight,"[70 years old, 75 years old)",1
descending limb of loop of Henle,Homo sapiens,postnatal,others,Overweight,"[75 years old, 80 years old)",1
descending limb of loop of Henle,Homo sapiens,postnatal,others,Overweight,"[85 years old, 90 years old)",1
descending limb of loop of Henle,Homo sapiens,postnatal,others,Unknown,<1 year old,548
descending limb of loop of Henle,Homo sapiens,postnatal,others,Unknown,"[1 year old, 5 years old)",71
descending limb of loop of Henle,Homo sapiens,postnatal,others,Unknown,"[10 years old, 15 years old)",66
descending limb of loop of Henle,Homo sapiens,postnatal,others,Unknown,"[15 years old, 20 years old)",48
descending limb of loop of Henle,Homo sapiens,postnatal,others,Unknown,"[20 years old, 25 years old)",68
descending limb of loop of Henle,Homo sapiens,postnatal,others,Unknown,"[25 years old, 30 years old)",36
descending limb of loop of Henle,Homo sapiens,postnatal,others,Unknown,"[30 years old, 35 years old)",47
descending limb of loop of Henle,Homo sapiens,postnatal,others,Unknown,"[35 years old, 40 years old)",18
descending limb of loop of Henle,Homo sapiens,postnatal,others,Unknown,"[40 years old, 45 years old)",40
descending limb of loop of Henle,Homo sapiens,postnatal,others,Unknown,"[45 years old, 50 years old)",26
descending limb of loop of Henle,Homo sapiens,postnatal,others,Unknown,"[5 years old, 10 years old)",67
descending limb of loop of Henle,Homo sapiens,postnatal,others,Unknown,"[50 years old, 55 years old)",42
descending limb of loop of Henle,Homo sapiens,postnatal,others,Unknown,"[55 years old, 60 years old)",31
descending limb of loop of Henle,Homo sapiens,postnatal,others,Unknown,"[60 years old, 65 years old)",52
descending limb of loop of Henle,Homo sapiens,postnatal,others,Unknown,"[65 years old, 70 years old)",61
descending limb of loop of Henle,Homo sapiens,postnatal,others,Unknown,"[70 years old, 75 years old)",37
descending limb of loop of Henle,Homo sapiens,postnatal,others,Unknown,"[75 years old, 80 years old)",22
descending limb of loop of Henle,Homo sapiens,postnatal,others,Unknown,"[80 years old, 85 years old)",5
descending limb of loop of Henle,Homo sapiens,postnatal,others,Unknown,"[85 years old, 90 years old)",2
descending limb of loop of Henle,Homo sapiens,postnatal,others,Unknown,"[90 years old, 95 years old)",1
descending limb of loop of Henle,Homo sapiens,postnatal,others,Unknown,"[95 years old, 100 years old)",1
descending limb of loop of Henle,Homo sapiens,postnatal,others,Unknown,others,53
descending limb of loop of Henle,Homo sapiens,postnatal,others,,<1 year old,1
descending limb of loop of Henle,Homo sapiens,postnatal,others,,"[15 years old, 20 years old)",1
descending limb of loop of Henle,Homo sapiens,postnatal,others,,"[20 years old, 25 years old)",1
descending limb of loop of Henle,Homo sapiens,postnatal,others,,"[30 years old, 35 years old)",1
descending limb of loop of Henle,Homo sapiens,postnatal,others,,"[5 years old, 10 years old)",2
descending limb of loop of Henle,Homo sapiens,postnatal,others,,"[70 years old, 75 years old)",1
descending limb of loop of Henle,Homo sapiens,prenatal,female,Unknown,,17
descending limb of loop of Henle,Homo sapiens,prenatal,male,Unknown,,11
descending limb of loop of Henle,Homo sapiens,prenatal,others,Unknown,,355
descending limb of loop of Henle,Homo sapiens,prenatal,others,,,2
descending limb of loop of Henle,Homo sapiens,unknown,female,Obesity,,3
descending limb of loop of Henle,Homo sapiens,unknown,female,Unknown,,734
descending limb of loop of Henle,Homo sapiens,unknown,female,,,2
descending limb of loop of Henle,Homo sapiens,unknown,male,Obesity,,1
descending limb of loop of Henle,Homo sapiens,unknown,male,Overweight,,1
descending limb of loop of Henle,Homo sapiens,unknown,male,Unknown,,740
descending limb of loop of Henle,Homo sapiens,unknown,male,,,2
descending limb of loop of Henle,Homo sapiens,unknown,others,Normal weight,,14
descending limb of loop of Henle,Homo sapiens,unknown,others,Obesity,,35
descending limb of loop of Henle,Homo sapiens,unknown,others,Overweight,,10
descending limb of loop of Henle,Homo sapiens,unknown,others,Underweight,,2
descending limb of loop of Henle,Homo sapiens,unknown,others,Unknown,,15416
descending limb of loop of Henle,Homo sapiens,unknown,others,,,165
descending limb of loop of Henle,Homo sapiens,,female,Overweight,,2
descending limb of loop of Henle,Homo sapiens,,female,Unknown,,50
descending limb of loop of Henle,Homo sapiens,,female,,,1
descending limb of loop of Henle,Homo sapiens,,male,Unknown,,85
descending limb of loop of Henle,Homo sapiens,,male,,,1
descending limb of loop of Henle,Homo sapiens,,others,Overweight,,2
descending limb of loop of Henle,Homo sapiens,,others,Unknown,,504
descending limb of loop of Henle,Homo sapiens,,others,,,11
descending limb of loop of Henle,Homo sapiens,,,,,5
epidermal ridge of digit,Homo sapiens,others,female,Normal weight,,2
epidermal ridge of digit,Homo sapiens,others,female,Overweight,,1
epidermal ridge of digit,Homo sapiens,others,female,Unknown,,105
epidermal ridge of digit,Homo sapiens,others,female,,,76
epidermal ridge of digit,Homo sapiens,others,male,Obesity,,1
epidermal ridge of digit,Homo sapiens,others,male,Overweight,,3
epidermal ridge of digit,Homo sapiens,others,male,Unknown,,76
epidermal ridge of digit,Homo sapiens,others,male,,,113
epidermal ridge of digit,Homo sapiens,others,others,Normal weight,,3
epidermal ridge of digit,Homo sapiens,others,others,Obesity,,7
epidermal ridge of digit,Homo sapiens,others,others,Overweight,,1
epidermal ridge of digit,Homo sapiens,others,others,Unknown,,1004
epidermal ridge of digit,Homo sapiens,others,others,,,6
epidermal ridge of digit,Homo sapiens,postnatal,female,Normal weight,"[20 years old, 25 years old)",7
epidermal ridge of digit,Homo sapiens,postnatal,female,Normal weight,"[25 years old, 30 years old)",2
epidermal ridge of digit,Homo sapiens,postnatal,female,Normal weight,"[30 years old, 35 years old)",32
epidermal ridge of digit,Homo sapiens,postnatal,female,Normal weight,"[35 years old, 40 years old)",1
epidermal ridge of digit,Homo sapiens,postnatal,female,Normal weight,"[40 years old, 45 years old)",3
epidermal ridge of digit,Homo sapiens,postnatal,female,Normal weight,"[70 years old, 75 years old)",1
epidermal ridge of digit,Homo sapiens,postnatal,female,Obesity,"[35 years old, 40 years old)",1
epidermal ridge of digit,Homo sapiens,postnatal,female,Overweight,"[30 years old, 35 years old)",4
epidermal ridge of digit,Homo sapiens,postnatal,female,Overweight,"[35 years old, 40 years old)",3
epidermal ridge of digit,Homo sapiens,postnatal,female,Overweight,"[40 years old, 45 years old)",4
epidermal ridge of digit,Homo sapiens,postnatal,female,Overweight,"[50 years old, 55 years old)",1
epidermal ridge of digit,Homo sapiens,postnatal,female,Overweight,"[55 years old, 60 years old)",1
epidermal ridge of digit,Homo sapiens,postnatal,female,Unknown,<1 year old,19
epidermal ridge of digit,Homo sapiens,postnatal,female,Unknown,"[1 year old, 5 years old)",7
epidermal ridge of digit,Homo sapiens,postnatal,female,Unknown,"[10 years old, 15 years old)",14
epidermal ridge of digit,Homo sapiens,postnatal,female,Unknown,"[15 years old, 20 years old)",20
epidermal ridge of digit,Homo sapiens,postnatal,female,Unknown,"[20 years old, 25 years old)",53
epidermal ridge of digit,Homo sapiens,postnatal,female,Unknown,"[25 years old, 30 years old)",266
epidermal ridge of digit,Homo sapiens,postnatal,female,Unknown,"[30 years old, 35 years old)",46
epidermal ridge of digit,Homo sapiens,postnatal,female,Unknown,"[35 years old, 40 years old)",16
epidermal ridge of digit,Homo sapiens,postnatal,female,Unknown,"[40 years old, 45 years old)",36
epidermal ridge of digit,Homo sapiens,postnatal,female,Unknown,"[45 years old, 50 years old)",17
epidermal ridge of digit,Homo sapiens,postnatal,female,Unknown,"[5 years old, 10 years old)",12
epidermal ridge of digit,Homo sapiens,postnatal,female,Unknown,"[50 years old, 55 years old)",31
epidermal ridge of digit,Homo sapiens,postnatal,female,Unknown,"[55 years old, 60 years old)",17
epidermal ridge of digit,Homo sapiens,postnatal,female,Unknown,"[60 years old, 65 years old)",30
epidermal ridge of digit,Homo sapiens,postnatal,female,Unknown,"[65 years old, 70 years old)",28
epidermal ridge of digit,Homo sapiens,postnatal,female,Unknown,"[70 years old, 75 years old)",19
epidermal ridge of digit,Homo sapiens,postnatal,female,Unknown,"[75 years old, 80 years old)",9
epidermal ridge of digit,Homo sapiens,postnatal,female,Unknown,"[80 years old, 85 years old)",8
epidermal ridge of digit,Homo sapiens,postnatal,female,Unknown,"[85 years old, 90 years old)",3
epidermal ridge of digit,Homo sapiens,postnatal,female,Unknown,"[95 years old, 100 years old)",1
epidermal ridge of digit,Homo sapiens,postnatal,female,Unknown,others,8
epidermal ridge of digit,Homo sapiens,postnatal,female,,"[20 years old, 25 years old)",10
epidermal ridge of digit,Homo sapiens,postnatal,female,,"[25 years old, 30 years old)",10
epidermal ridge of digit,Homo sapiens,postnatal,female,,"[30 years old, 35 years old)",5
epidermal ridge of digit,Homo sapiens,postnatal,female,,"[35 years old, 40 years old)",1
epidermal ridge of digit,Homo sapiens,postnatal,female,,"[40 years old, 45 years old)",4
epidermal ridge of digit,Homo sapiens,postnatal,female,,"[45 years old, 50 years old)",1
epidermal ridge of digit,Homo sapiens,postnatal,female,,"[60 years old, 65 years old)",1
epidermal ridge of digit,Homo sapiens,postnatal,female,,"[65 years old, 70 years old)",1
epidermal ridge of digit,Homo sapiens,postnatal,male,Normal weight,"[25 years old, 30 years old)",1
epidermal ridge of digit,Homo sapiens,postnatal,male,Normal weight,"[30 years old, 35 years old)",26
epidermal ridge of digit,Homo sapiens,postnatal,male,Normal weight,"[35 years old, 40 years old)",1
epidermal ridge of digit,Homo sapiens,postnatal,male,Obesity,"[35 years old, 40 years old)",1
epidermal ridge of digit,Homo sapiens,postnatal,male,Obesity,"[40 years old, 45 years old)",3
epidermal ridge of digit,Homo sapiens,postnatal,male,Obesity,"[60 years old, 65 years old)",1
epidermal ridge of digit,Homo sapiens,postnatal,male,Overweight,"[25 years old, 30 years old)",1
epidermal ridge of digit,Homo sapiens,postnatal,male,Overweight,"[30 years old, 35 years old)",5
epidermal ridge of digit,Homo sapiens,postnatal,male,Overweight,"[35 years old, 40 years old)",3
epidermal ridge of digit,Homo sapiens,postnatal,male,Overweight,"[40 years old, 45 years old)",5
epidermal ridge of digit,Homo sapiens,postnatal,male,Unknown,<1 year old,10
epidermal ridge of digit,Homo sapiens,postnatal,male,Unknown,"[1 year old, 5 years old)",7
epidermal ridge of digit,Homo sapiens,postnatal,male,Unknown,"[10 years old, 15 years old)",12
epidermal ridge of digit,Homo sapiens,postnatal,male,Unknown,"[15 years old, 20 years old)",17
epidermal ridge of digit,Homo sapiens,postnatal,male,Unknown,"[20 years old, 25 years old)",38
epidermal ridge of digit,Homo sapiens,postnatal,male,Unknown,"[25 years old, 30 years old)",74
epidermal ridge of digit,Homo sapiens,postnatal,male,Unknown,"[30 years old, 35 years old)",45
epidermal ridge of digit,Homo sapiens,postnatal,male,Unknown,"[35 years old, 40 years old)",7
epidermal ridge of digit,Homo sapiens,postnatal,male,Unknown,"[40 years old, 45 years old)",26
epidermal ridge of digit,Homo sapiens,postnatal,male,Unknown,"[45 years old, 50 years old)",21
epidermal ridge of digit,Homo sapiens,postnatal,male,Unknown,"[5 years old, 10 years old)",15
epidermal ridge of digit,Homo sapiens,postnatal,male,Unknown,"[50 years old, 55 years old)",26
epidermal ridge of digit,Homo sapiens,postnatal,male,Unknown,"[55 years old, 60 years old)",15
epidermal ridge of digit,Homo sapiens,postnatal,male,Unknown,"[60 years old, 65 years old)",33
epidermal ridge of digit,Homo sapiens,postnatal,male,Unknown,"[65 years old, 70 years old)",40
epidermal ridge of digit,Homo sapiens,postnatal,male,Unknown,"[70 years old, 75 years old)",17
epidermal ridge of digit,Homo sapiens,postnatal,male,Unknown,"[75 years old, 80 years old)",11
epidermal ridge of digit,Homo sapiens,postnatal,male,Unknown,"[80 years old, 85 years old)",5
epidermal ridge of digit,Homo sapiens,postnatal,male,Unknown,others,8
epidermal ridge of digit,Homo sapiens,postnatal,male,,<1 year old,1
epidermal ridge of digit,Homo sapiens,postnatal,male,,"[20 years old, 25 years old)",1
epidermal ridge of digit,Homo sapiens,postnatal,male,,"[25 years old, 30 years old)",1
epidermal ridge of digit,Homo sapiens,postnatal,male,,"[30 years old, 35 years old)",37
epidermal ridge of digit,Homo sapiens,postnatal,male,,"[35 years old, 40 years old)",1
epidermal ridge of digit,Homo sapiens,postnatal,male,,"[40 years old, 45 years old)",22
epidermal ridge of digit,Homo sapiens,postnatal,male,,"[45 years old, 50 years old)",3
epidermal ridge of digit,Homo sapiens,postnatal,male,,"[60 years old, 65 years old)",2
epidermal ridge of digit,Homo sapiens,postnatal,others,Normal weight,"[45 years old, 50 years old)",1
epidermal ridge of digit,Homo sapiens,postnatal,others,Obesity,"[50 years old, 55 years old)",1
epidermal ridge of digit,Homo sapiens,postnatal,others,Overweight,"[30 years old, 35 years old)",1
epidermal ridge of digit,Homo sapiens,postnatal,others,Overweight,"[50 years old, 55 years old)",2
epidermal ridge of digit,Homo sapiens,postnatal,others,Overweight,"[55 years old, 60 years old)",1
epidermal ridge of digit,Homo sapiens,postnatal,others,Overweight,others,1
epidermal ridge of digit,Homo sapiens,postnatal,others,Unknown,<1 year old,372
epidermal ridge of digit,Homo sapiens,postnatal,others,Unknown,"[1 year old, 5 years old)",64
epidermal ridge of digit,Homo sapiens,postnatal,others,Unknown,"[10 years old, 15 years old)",52
epidermal ridge of digit,Homo sapiens,postnatal,others,Unknown,"[15 years old, 20 years old)",48
epidermal ridge of digit,Homo sapiens,postnatal,others,Unknown,"[20 years old, 25 years old)",35
epidermal ridge of digit,Homo sapiens,postnatal,others,Unknown,"[25 years old, 30 years old)",31
epidermal ridge of digit,Homo sapiens,postnatal,others,Unknown,"[30 years old, 35 years old)",29
epidermal ridge of digit,Homo sapiens,postnatal,others,Unknown,"[35 years old, 40 years old)",17
epidermal ridge of digit,Homo sapiens,postnatal,others,Unknown,"[40 years old, 45 years old)",23
epidermal ridge of digit,Homo sapiens,postnatal,others,Unknown,"[45 years old, 50 years old)",16
epidermal ridge of digit,Homo sapiens,postnatal,others,Unknown,"[5 years old, 10 years old)",90
epidermal ridge of digit,Homo sapiens,postnatal,others,Unknown,"[50 years old, 55 years old)",16
epidermal ridge of digit,Homo sapiens,postnatal,others,Unknown,"[55 years old, 60 years old)",14
epidermal ridge of digit,Homo sapiens,postnatal,others,Unknown,"[60 years old, 65 years old)",36
epidermal ridge of digit,Homo sapiens,postnatal,others,Unknown,"[65 years old, 70 years old)",22
epidermal ridge of digit,Homo sapiens,postnatal,others,Unknown,"[70 years old, 75 years old)",18
epidermal ridge of digit,Homo sapiens,postnatal,others,Unknown,"[75 years old, 80 years old)",15
epidermal ridge of digit,Homo sapiens,postnatal,others,Unknown,"[80 years old, 85 years old)",6
epidermal ridge of digit,Homo sapiens,postnatal,others,Unknown,"[85 years old, 90 years old)",4
epidermal ridge of digit,Homo sapiens,postnatal,others,Unknown,"[90 years old, 95 years old)",1
epidermal ridge of digit,Homo sapiens,postnatal,others,Unknown,others,58
epidermal ridge of digit,Homo sapiens,postnatal,others,,"[50 years old, 55 years old)",1
epidermal ridge of digit,Homo sapiens,prenatal,female,Unknown,,20
epidermal ridge of digit,Homo sapiens,prenatal,male,Unknown,,5
epidermal ridge of digit,Homo sapiens,prenatal,others,Obesity,,1
epidermal ridge of digit,Homo sapiens,prenatal,others,Unknown,,169
epidermal ridge of digit,Homo sapiens,unknown,female,Normal weight,,2
epidermal ridge of digit,Homo sapiens,unknown,female,Obesity,,7
epidermal ridge of digit,Homo sapiens,unknown,female,Overweight,,4
epidermal ridge of digit,Homo sapiens,unknown,female,Underweight,,1
epidermal ridge of digit,Homo sapiens,unknown,female,Unknown,,1139
epidermal ridge of digit,Homo sapiens,unknown,female,,,9
epidermal ridge of digit,Homo sapiens,unknown,male,Normal weight,,1
epidermal ridge of digit,Homo sapiens,unknown,male,Obesity,,4
epidermal ridge of digit,Homo sapiens,unknown,male,Overweight,,1
epidermal ridge of digit,Homo sapiens,unknown,male,Unknown,,828
epidermal ridge of digit,Homo sapiens,unknown,male,,,8
epidermal ridge of digit,Homo sapiens,unknown,others,Normal weight,,13
epidermal ridge of digit,Homo sapiens,unknown,others,Obesity,,32
epidermal ridge of digit,Homo sapiens,unknown,others,Overweight,,8
epidermal ridge of digit,Homo sapiens,unknown,others,Underweight,,6
epidermal ridge of digit,Homo sapiens,unknown,others,Unknown,,26019
epidermal ridge of digit,Homo sapiens,unknown,others,,,313
epidermal ridge of digit,Homo sapiens,unknown,,,,1
epidermal ridge of digit,Homo sapiens,,female,Normal weight,,1
epidermal ridge of digit,Homo sapiens,,female,Unknown,,45
epidermal ridge of digit,Homo sapiens,,female,,,3
epidermal ridge of digit,Homo sapiens,,male,Normal weight,,1
epidermal ridge of digit,Homo sapiens,,male,Unknown,,22
epidermal ridge of digit,Homo sapiens,,male,,,1
epidermal ridge of digit,Homo sapiens,,others,Unknown,,278
epidermal ridge of digit,Homo sapiens,,others,,,1
epidermal ridge of digit,Homo sapiens,,,,,8
inner medullary collecting duct,Homo sapiens,others,female,Unknown,,15
inner medullary collecting duct,Homo sapiens,others,female,,,6
inner medullary collecting duct,Homo sapiens,others,male,Unknown,,6
inner medullary collecting duct,Homo sapiens,others,male,,,8
inner medullary collecting duct,Homo sapiens,others,others,Obesity,,1
inner medullary collecting duct,Homo sapiens,others,others,Unknown,,159
inner medullary collecting duct,Homo sapiens,others,others,,,1
inner medullary collecting duct,Homo sapiens,postnatal,female,Normal weight,"[30 years old, 35 years old)",3
inner medullary collecting duct,Homo sapiens,postnatal,female,Overweight,"[40 years old, 45 years old)",1
inner medullary collecting duct,Homo sapiens,postnatal,female,Unknown,<1 year old,8
inner medullary collecting duct,Homo sapiens,postnatal,female,Unknown,"[1 year old, 5 years old)",8
inner medullary collecting duct,Homo sapiens,postnatal,female,Unknown,"[10 years old, 15 years old)",11
inner medullary collecting duct,Homo sapiens,postnatal,female,Unknown,"[15 years old, 20 years old)",8
inner medullary collecting duct,Homo sapiens,postnatal,female,Unknown,"[20 years old, 25 years old)",13
inner medullary collecting duct,Homo sapiens,postnatal,female,Unknown,"[25 years old, 30 years old)",24
inner medullary collecting duct,Homo sapiens,postnatal,female,Unknown,"[30 years old, 35 years old)",10
inner medullary collecting duct,Homo sapiens,postnatal,female,Unknown,"[35 years old, 40 years old)",11
inner medullary collecting duct,Homo sapiens,postnatal,female,Unknown,"[40 years old, 45 years old)",14
inner medullary collecting duct,Homo sapiens,postnatal,female,Unknown,"[45 years old, 50 years old)",14
inner medullary collecting duct,Homo sapiens,postnatal,female,Unknown,"[5 years old, 10 years old)",8
inner medullary collecting duct,Homo sapiens,postnatal,female,Unknown,"[50 years old, 55 years old)",10
inner medullary collecting duct,Homo sapiens,postnatal,female,Unknown,"[55 years old, 60 years old)",10
inner medullary collecting duct,Homo sapiens,postnatal,female,Unknown,"[60 years old, 65 years old)",9
inner medullary collecting duct,Homo sapiens,postnatal,female,Unknown,"[65 years old, 70 years old)",16
inner medullary collecting duct,Homo sapiens,postnatal,female,Unknown,"[70 years old, 75 years old)",8
inner medullary collecting duct,Homo sapiens,postnatal,female,Unknown,"[75 years old, 80 years old)",7
inner medullary collecting duct,Homo sapiens,postnatal,female,Unknown,"[80 years old, 85 years old)",5
inner medullary collecting duct,Homo sapiens,postnatal,female,Unknown,others,2
inner medullary collecting duct,Homo sapiens,postnatal,female,,"[20 years old, 25 years old)",1
inner medullary collecting duct,Homo sapiens,postnatal,female,,"[25 years old, 30 years old)",1
inner medullary collecting duct,Homo sapiens,postnatal,male,Normal weight,"[30 years old, 35 years old)",2
inner medullary collecting duct,Homo sapiens,postnatal,male,Normal weight,"[55 years old, 60 years old)",1
inner medullary collecting duct,Homo sapiens,postnatal,male,Obesity,"[60 years old, 65 years old)",1
inner medullary collecting duct,Homo sapiens,postnatal,male,Overweight,"[50 years old, 55 years old)",1
inner medullary collecting duct,Homo sapiens,postnatal,male,Unknown,<1 year old,7
inner medullary collecting duct,Homo sapiens,postnatal,male,Unknown,"[1 year old, 5 years old)",8
inner medullary collecting duct,Homo sapiens,postnatal,male,Unknown,"[10 years old, 15 years old)",6
inner medullary collecting duct,Homo sapiens,postnatal,male,Unknown,"[15 years old, 20 years old)",5
inner medullary collecting duct,Homo sapiens,postnatal,male,Unknown,"[20 years old, 25 years old)",6
inner medullary collecting duct,Homo sapiens,postnatal,male,Unknown,"[25 years old, 30 years old)",5
inner medullary collecting duct,Homo sapiens,postnatal,male,Unknown,"[30 years old, 35 years old)",6
inner medullary collecting duct,Homo sapiens,postnatal,male,Unknown,"[35 years old, 40 years old)",4
inner medullary collecting duct,Homo sapiens,postnatal,male,Unknown,"[40 years old, 45 years old)",13
inner medullary collecting duct,Homo sapiens,postnatal,male,Unknown,"[45 years old, 50 years old)",9
inner medullary collecting duct,Homo sapiens,postnatal,male,Unknown,"[5 years old, 10 years old)",5
inner medullary collecting duct,Homo sapiens,postnatal,male,Unknown,"[50 years old, 55 years old)",12
inner medullary collecting duct,Homo sapiens,postnatal,male,Unknown,"[55 years old, 60 years old)",12
inner medullary collecting duct,Homo sapiens,postnatal,male,Unknown,"[60 years old, 65 years old)",20
inner medullary collecting duct,Homo sapiens,postnatal,male,Unknown,"[65 years old, 70 years old)",15
inner medullary collecting duct,Homo sapiens,postnatal,male,Unknown,"[70 years old, 75 years old)",14
inner medullary collecting duct,Homo sapiens,postnatal,male,Unknown,"[75 years old, 80 years old)",5
inner medullary collecting duct,Homo sapiens,postnatal,male,Unknown,"[80 years old, 85 years old)",2
inner medullary collecting duct,Homo sapiens,postnatal,male,Unknown,others,2
inner medullary collecting duct,Homo sapiens,postnatal,male,,"[30 years old, 35 years old)",4
inner medullary collecting duct,Homo sapiens,postnatal,male,,"[40 years old, 45 years old)",1
inner medullary collecting duct,Homo sapiens,postnatal,others,Unknown,<1 year old,57
inner medullary collecting duct,Homo sapiens,postnatal,others,Unknown,"[1 year old, 5 years old)",2
inner medullary collecting duct,Homo sapiens,postnatal,others,Unknown,"[10 years old, 15 years old)",12
inner medullary collecting duct,Homo sapiens,postnatal,others,Unknown,"[15 years old, 20 years old)",12
inner medullary collecting duct,Homo sapiens,postnatal,others,Unknown,"[20 years old, 25 years old)",5
inner medullary collecting duct,Homo sapiens,postnatal,others,Unknown,"[25 years old, 30 years old)",5
inner medullary collecting duct,Homo sapiens,postnatal,others,Unknown,"[30 years old, 35 years old)",2
inner medullary collecting duct,Homo sapiens,postnatal,others,Unknown,"[35 years old, 40 years old)",6
inner medullary collecting duct,Homo sapiens,postnatal,others,Unknown,"[40 years old, 45 years old)",6
inner medullary collecting duct,Homo sapiens,postnatal,others,Unknown,"[45 years old, 50 years old)",4
inner medullary collecting duct,Homo sapiens,postnatal,others,Unknown,"[5 years old, 10 years old)",4
inner medullary collecting duct,Homo sapiens,postnatal,others,Unknown,"[50 years old, 55 years old)",1
inner medullary collecting duct,Homo sapiens,postnatal,others,Unknown,"[55 years old, 60 years old)",5
inner medullary collecting duct,Homo sapiens,postnatal,others,Unknown,"[60 years old, 65 years old)",6
inner medullary collecting duct,Homo sapiens,postnatal,others,Unknown,"[65 years old, 70 years old)",4
inner medullary collecting duct,Homo sapiens,postnatal,others,Unknown,"[70 years old, 75 years old)",3
inner medullary collecting duct,Homo sapiens,postnatal,others,Unknown,"[75 years old, 80 years old)",2
inner medullary collecting duct,Homo sapiens,postnatal,others,Unknown,"[85 years old, 90 years old)",1
inner medullary collecting duct,Homo sapiens,postnatal,others,Unknown,others,10
inner medullary collecting duct,Homo sapiens,prenatal,female,Unknown,,6
inner medullary collecting duct,Homo sapiens,prenatal,male,Unknown,,3
inner medullary collecting duct,Homo sapiens,prenatal,others,Unknown,,119
inner medullary collecting duct,Homo sapiens,unknown,female,Unknown,,102
inner medullary collecting duct,Homo sapiens,unknown,male,Unknown,,103
inner medullary collecting duct,Homo sapiens,unknown,others,Normal weight,,1
inner medullary collecting duct,Homo sapiens,unknown,others,Obesity,,1
inner medullary collecting duct,Homo sapiens,unknown,others,Unknown,,2673
inner medullary collecting duct,Homo sapiens,unknown,others,,,27
inner medullary collecting duct,Homo sapiens,,female,Unknown,,9
inner medullary collecting duct,Homo sapiens,,male,Unknown,,10
inner medullary collecting duct,Homo sapiens,,others,Unknown,,22
intercalated duct of pancreas,Homo sapiens,others,female,Unknown,,7
intercalated duct of pancreas,Homo sapiens,others,female,,,3
intercalated duct of pancreas,Homo sapiens,others,male,Unknown,,1
intercalated duct of pancreas,Homo sapiens,others,male,,,3
intercalated duct of pancreas,Homo sapiens,others,others,Unknown,,36
intercalated duct of pancreas,Homo sapiens,postnatal,female,Unknown,"[25 years old, 30 years old)",1
intercalated duct of pancreas,Homo sapiens,postnatal,female,Unknown,"[30 years old, 35 years old)",3
intercalated duct of pancreas,Homo sapiens,postnatal,female,Unknown,"[40 years old, 45 years old)",1
intercalated duct of pancreas,Homo sapiens,postnatal,female,Unknown,"[45 years old, 50 years old)",2
intercalated duct of pancreas,Homo sapiens,postnatal,female,Unknown,"[55 years old, 60 years old)",1
intercalated duct of pancreas,Homo sapiens,postnatal,female,Unknown,"[60 years old, 65 years old)",2
intercalated duct of pancreas,Homo sapiens,postnatal,female,Unknown,"[65 years old, 70 years old)",1
intercalated duct of pancreas,Homo sapiens,postnatal,female,Unknown,"[70 years old, 75 years old)",2
intercalated duct of pancreas,Homo sapiens,postnatal,female,Unknown,"[75 years old, 80 years old)",2
intercalated duct of pancreas,Homo sapiens,postnatal,female,Unknown,"[80 years old, 85 years old)",1
intercalated duct of pancreas,Homo sapiens,postnatal,female,,"[25 years old, 30 years old)",1
intercalated duct of pancreas,Homo sapiens,postnatal,male,Normal weight,"[30 years old, 35 years old)",1
intercalated duct of pancreas,Homo sapiens,postnatal,male,Overweight,"[30 years old, 35 years old)",1
intercalated duct of pancreas,Homo sapiens,postnatal,male,Unknown,"[20 years old, 25 years old)",1
intercalated duct of pancreas,Homo sapiens,postnatal,male,Unknown,"[30 years old, 35 years old)",1
intercalated duct of pancreas,Homo sapiens,postnatal,male,Unknown,"[60 years old, 65 years old)",2
intercalated duct of pancreas,Homo sapiens,postnatal,male,Unknown,"[65 years old, 70 years old)",2
intercalated duct of pancreas,Homo sapiens,postnatal,male,Unknown,"[70 years old, 75 years old)",1
intercalated duct of pancreas,Homo sapiens,postnatal,male,Unknown,"[80 years old, 85 years old)",1
intercalated duct of pancreas,Homo sapiens,postnatal,male,,"[30 years old, 35 years old)",1
intercalated duct of pancreas,Homo sapiens,postnatal,others,Unknown,<1 year old,16
intercalated duct of pancreas,Homo sapiens,postnatal,others,Unknown,"[50 years old, 55 years old)",1
intercalated duct of pancreas,Homo sapiens,postnatal,others,Unknown,"[55 years old, 60 years old)",1
intercalated duct of pancreas,Homo sapiens,postnatal,others,Unknown,"[65 years old, 70 years old)",1
intercalated duct of pancreas,Homo sapiens,prenatal,others,Unknown,,7
intercalated duct of pancreas,Homo sapiens,unknown,female,Unknown,,21
intercalated duct of pancreas,Homo sapiens,unknown,male,Unknown,,20
intercalated duct of pancreas,Homo sapiens,unknown,others,Unknown,,572
intercalated duct of pancreas,Homo sapiens,unknown,others,,,5
intercalated duct of pancreas,Homo sapiens,,others,Unknown,,2
intestinal villus,Homo sapiens,others,female,Overweight,,1
intestinal villus,Homo sapiens,others,female,Unknown,,81
intestinal villus,Homo sapiens,others,female,,,33
