ftu,species_tag,age_tag,sex_tag,bmi_tag,age_yearold_tag,donor_record_count
pancreatic acinus,Homo sapiens,postnatal,others,Unknown,"[60 years old, 65 years old)",23
pancreatic acinus,Homo sapiens,postnatal,others,Unknown,"[5 years old, 10 years old)",23
white pulp of spleen,Homo sapiens,others,female,,,22
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,male,Unknown,"[5 years old, 10 years old)",22
epidermal ridge of digit,Homo sapiens,postnatal,others,Unknown,"[65 years old, 70 years old)",22
white pulp of spleen,Homo sapiens,postnatal,male,Unknown,"[35 years old, 40 years old)",22
alveolus of lung,Homo sapiens,postnatal,female,Unknown,"[65 years old, 70 years old)",22
alveolus of lung,Homo sapiens,postnatal,male,Unknown,"[25 years old, 30 years old)",22
white pulp of spleen,Homo sapiens,postnatal,female,Unknown,"[70 years old, 75 years old)",22
alveolus of lung,Homo sapiens,others,male,Unknown,,22
epidermal ridge of digit,Homo sapiens,postnatal,male,,"[40 years old, 45 years old)",22
white pulp of spleen,Homo sapiens,postnatal,male,Unknown,"[75 years old, 80 years old)",22
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,female,Normal weight,"[30 years old, 35 years old)",22
descending limb of loop of Henle,Homo sapiens,postnatal,male,Unknown,"[1 year old, 5 years old)",22
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,others,Unknown,"[35 years old, 40 years old)",22
loop of Henle ascending limb thin segment,Homo sapiens,prenatal,others,Unknown,,22
descending limb of loop of Henle,Homo sapiens,postnatal,others,Unknown,"[75 years old, 80 years old)",22
epidermal ridge of digit,Homo sapiens,,male,Unknown,,22
pancreatic acinus,Homo sapiens,postnatal,others,Unknown,others,22
intestinal villus,Homo sapiens,postnatal,male,Unknown,"[60 years old, 65 years old)",22
intestinal villus,Homo sapiens,postnatal,others,Unknown,"[35 years old, 40 years old)",22
inner medullary collecting duct,Homo sapiens,,others,Unknown,,22
alveolus of lung,Homo sapiens,postnatal,male,Unknown,"[65 years old, 70 years old)",22
red pulp of spleen,Homo sapiens,postnatal,female,Unknown,"[55 years old, 60 years old)",21
intestinal villus,Homo sapiens,postnatal,female,Unknown,"[15 years old, 20 years old)",21
red pulp of spleen,Homo sapiens,postnatal,male,Unknown,"[65 years old, 70 years old)",21
epidermal ridge of digit,Homo sapiens,postnatal,male,Unknown,"[45 years old, 50 years old)",21
red pulp of spleen,Homo sapiens,postnatal,female,Unknown,"[15 years old, 20 years old)",21
pancreatic acinus,Homo sapiens,postnatal,female,Unknown,"[75 years old, 80 years old)",21
nephron,Homo sapiens,postnatal,male,,"[30 years old, 35 years old)",21
thymus lobule,Homo sapiens,unknown,female,Unknown,,21
intestinal villus,Homo sapiens,postnatal,female,Unknown,"[10 years old, 15 years old)",21
liver lobule,Homo sapiens,postnatal,female,Unknown,"[55 years old, 60 years old)",21
pancreatic acinus,Homo sapiens,postnatal,others,Unknown,"[10 years old, 15 years old)",21
thick ascending limb of loop of Henle,Homo sapiens,postnatal,others,Unknown,"[1 year old, 5 years old)",21
intercalated duct of pancreas,Homo sapiens,unknown,female,Unknown,,21
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,male,Unknown,"[80 years old, 85 years old)",21
islet of Langerhans,Homo sapiens,postnatal,others,Unknown,"[10 years old, 15 years old)",21
liver lobule,Homo sapiens,postnatal,female,Unknown,"[65 years old, 70 years old)",21
islet of Langerhans,Homo sapiens,postnatal,female,Unknown,"[55 years old, 60 years old)",21
alveolus of lung,Homo sapiens,postnatal,others,Unknown,others,21
intestinal villus,Homo sapiens,postnatal,male,Unknown,"[5 years old, 10 years old)",21
descending limb of loop of Henle,Homo sapiens,postnatal,female,Unknown,"[1 year old, 5 years old)",21
cortical collecting duct,Homo sapiens,postnatal,female,Unknown,"[30 years old, 35 years old)",21
pancreatic acinus,Homo sapiens,postnatal,others,Unknown,"[1 year old, 5 years old)",20
pancreatic acinus,Homo sapiens,postnatal,others,Unknown,"[40 years old, 45 years old)",20
inner medullary collecting duct,Homo sapiens,postnatal,male,Unknown,"[60 years old, 65 years old)",20
liver lobule,Homo sapiens,postnatal,female,Unknown,"[35 years old, 40 years old)",20
red pulp of spleen,Homo sapiens,postnatal,female,Unknown,"[70 years old, 75 years old)",20
liver lobule,Homo sapiens,postnatal,female,Unknown,<1 year old,20
cortical collecting duct,Homo sapiens,postnatal,others,Unknown,others,20
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,others,Unknown,"[70 years old, 75 years old)",20
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,male,Normal weight,"[30 years old, 35 years old)",20
thick ascending limb of loop of Henle,Homo sapiens,others,male,Unknown,,20
pancreatic acinus,Homo sapiens,postnatal,others,Unknown,"[50 years old, 55 years old)",20
epidermal ridge of digit,Homo sapiens,prenatal,female,Unknown,,20
white pulp of spleen,Homo sapiens,postnatal,others,Unknown,"[60 years old, 65 years old)",20
epidermal ridge of digit,Homo sapiens,postnatal,female,Unknown,"[15 years old, 20 years old)",20
papillary layer of dermis,Homo sapiens,postnatal,female,Unknown,"[85 years old, 90 years old)",20
intercalated duct of pancreas,Homo sapiens,unknown,male,Unknown,,20
liver lobule,Homo sapiens,postnatal,female,Unknown,"[20 years old, 25 years old)",20
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,female,Unknown,"[5 years old, 10 years old)",20
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,others,Unknown,"[50 years old, 55 years old)",19
red pulp of spleen,Homo sapiens,postnatal,female,Unknown,"[45 years old, 50 years old)",19
epidermal ridge of digit,Homo sapiens,postnatal,female,Unknown,<1 year old,19
white pulp of spleen,Homo sapiens,postnatal,male,Unknown,"[70 years old, 75 years old)",19
red pulp of spleen,Homo sapiens,postnatal,others,Unknown,"[30 years old, 35 years old)",19
epidermal ridge of digit,Homo sapiens,postnatal,female,Unknown,"[70 years old, 75 years old)",19
white pulp of spleen,Homo sapiens,postnatal,female,Normal weight,"[30 years old, 35 years old)",19
islet of Langerhans,Homo sapiens,postnatal,male,Unknown,"[70 years old, 75 years old)",19
outer medullary collecting duct,Homo sapiens,unknown,others,,,19
white pulp of spleen,Homo sapiens,postnatal,male,Unknown,"[1 year old, 5 years old)",19
islet of Langerhans,Homo sapiens,postnatal,others,Unknown,"[15 years old, 20 years old)",19
prostate glandular acinus,Homo sapiens,postnatal,female,Unknown,"[40 years old, 45 years old)",19
thymus lobule,Homo sapiens,others,others,Unknown,,19
liver lobule,Homo sapiens,unknown,others,Obesity,,19
pancreatic acinus,Homo sapiens,postnatal,male,Unknown,"[80 years old, 85 years old)",19
intestinal villus,Homo sapiens,postnatal,male,Unknown,"[40 years old, 45 years old)",18
red pulp of spleen,Homo sapiens,postnatal,male,Unknown,"[55 years old, 60 years old)",18
epidermal ridge of digit,Homo sapiens,postnatal,others,Unknown,"[70 years old, 75 years old)",18
descending limb of loop of Henle,Homo sapiens,postnatal,others,Unknown,"[35 years old, 40 years old)",18
cortical collecting duct,Homo sapiens,others,male,,,18
islet of Langerhans,Homo sapiens,postnatal,male,Unknown,"[25 years old, 30 years old)",18
thick ascending limb of loop of Henle,Homo sapiens,postnatal,male,Unknown,"[30 years old, 35 years old)",18
pancreatic acinus,Homo sapiens,postnatal,male,Unknown,"[35 years old, 40 years old)",18
thick ascending limb of loop of Henle,Homo sapiens,postnatal,male,Unknown,"[60 years old, 65 years old)",18
islet of Langerhans,Homo sapiens,postnatal,others,Unknown,"[65 years old, 70 years old)",18
prostate glandular acinus,Homo sapiens,postnatal,male,Unknown,"[60 years old, 65 years old)",18
prostate glandular acinus,Homo sapiens,prenatal,male,Unknown,,18
bronchus submucosal gland,Homo sapiens,,others,Unknown,,18
white pulp of spleen,Homo sapiens,postnatal,female,Unknown,"[75 years old, 80 years old)",18
white pulp of spleen,Homo sapiens,postnatal,others,Unknown,"[30 years old, 35 years old)",18
descending limb of loop of Henle,Homo sapiens,prenatal,female,Unknown,,17
white pulp of spleen,Homo sapiens,postnatal,male,,"[30 years old, 35 years old)",17
white pulp of spleen,Homo sapiens,postnatal,others,Unknown,"[25 years old, 30 years old)",17
epidermal ridge of digit,Homo sapiens,postnatal,male,Unknown,"[70 years old, 75 years old)",17
thymus lobule,Homo sapiens,,others,Unknown,,17
intestinal villus,Homo sapiens,postnatal,female,Unknown,"[45 years old, 50 years old)",17
pancreatic acinus,Homo sapiens,postnatal,others,Unknown,"[15 years old, 20 years old)",17
islet of Langerhans,Homo sapiens,others,female,,,17
liver lobule,Homo sapiens,postnatal,others,Unknown,"[1 year old, 5 years old)",17
pancreatic acinus,Homo sapiens,postnatal,male,Unknown,"[75 years old, 80 years old)",17
epidermal ridge of digit,Homo sapiens,postnatal,female,Unknown,"[45 years old, 50 years old)",17
prostate glandular acinus,Homo sapiens,postnatal,male,Unknown,"[70 years old, 75 years old)",17
prostate glandular acinus,Homo sapiens,postnatal,male,Unknown,"[40 years old, 45 years old)",17
alveolus of lung,Homo sapiens,postnatal,male,Unknown,"[30 years old, 35 years old)",17
epidermal ridge of digit,Homo sapiens,postnatal,male,Unknown,"[15 years old, 20 years old)",17
prostate glandular acinus,Homo sapiens,postnatal,others,Unknown,"[1 year old, 5 years old)",17
loop of Henle ascending limb thin segment,Homo sapiens,,others,Unknown,,17
alveolus of lung,Homo sapiens,postnatal,male,Unknown,"[40 years old, 45 years old)",17
epidermal ridge of digit,Homo sapiens,postnatal,others,Unknown,"[35 years old, 40 years old)",17
white pulp of spleen,Homo sapiens,postnatal,others,Unknown,"[40 years old, 45 years old)",17
crypt of Lieberkuhn of large intestine,Homo sapiens,unknown,others,Overweight,,17
epidermal ridge of digit,Homo sapiens,postnatal,female,Unknown,"[55 years old, 60 years old)",17
renal corpuscle,Homo sapiens,unknown,female,Unknown,,17
renal corpuscle,Homo sapiens,unknown,male,Unknown,,17
prostate glandular acinus,Homo sapiens,postnatal,male,Unknown,<1 year old,16
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,female,Unknown,"[80 years old, 85 years old)",16
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,male,,"[30 years old, 35 years old)",16
thick ascending limb of loop of Henle,Homo sapiens,postnatal,male,Unknown,"[45 years old, 50 years old)",16
alveolus of lung,Homo sapiens,postnatal,others,Unknown,"[65 years old, 70 years old)",16
thick ascending limb of loop of Henle,Homo sapiens,postnatal,male,Unknown,"[70 years old, 75 years old)",16
bronchus submucosal gland,Homo sapiens,postnatal,male,Unknown,"[50 years old, 55 years old)",16
inner medullary collecting duct,Homo sapiens,postnatal,female,Unknown,"[65 years old, 70 years old)",16
intestinal villus,Homo sapiens,,male,Unknown,,16
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,others,Unknown,"[25 years old, 30 years old)",16
islet of Langerhans,Homo sapiens,postnatal,male,Unknown,"[45 years old, 50 years old)",16
loop of Henle ascending limb thin segment,Homo sapiens,unknown,others,,,16
red pulp of spleen,Homo sapiens,postnatal,male,Unknown,"[75 years old, 80 years old)",16
islet of Langerhans,Homo sapiens,postnatal,female,Unknown,"[35 years old, 40 years old)",16
islet of Langerhans,Homo sapiens,postnatal,female,Unknown,<1 year old,16
intestinal villus,Homo sapiens,postnatal,male,Unknown,"[50 years old, 55 years old)",16
papillary layer of dermis,Homo sapiens,postnatal,others,Unknown,"[80 years old, 85 years old)",16
papillary layer of dermis,Homo sapiens,unknown,others,Obesity,,16
epidermal ridge of digit,Homo sapiens,postnatal,others,Unknown,"[45 years old, 50 years old)",16
islet of Langerhans,Homo sapiens,postnatal,male,Unknown,"[75 years old, 80 years old)",16
loop of Henle ascending limb thin segment,Homo sapiens,postnatal,female,Unknown,"[25 years old, 30 years old)",16
pancreatic acinus,Homo sapiens,postnatal,female,Unknown,"[10 years old, 15 years old)",16
red pulp of spleen,Homo sapiens,postnatal,female,Unknown,"[60 years old, 65 years old)",16
thick ascending limb of loop of Henle,Homo sapiens,postnatal,male,Unknown,"[25 years old, 30 years old)",16
intercalated duct of pancreas,Homo sapiens,postnatal,others,Unknown,<1 year old,16
descending limb of loop of Henle,Homo sapiens,postnatal,male,Normal weight,"[30 years old, 35 years old)",16
islet of Langerhans,Homo sapiens,postnatal,female,Unknown,"[50 years old, 55 years old)",16
liver lobule,Homo sapiens,postnatal,others,Unknown,"[5 years old, 10 years old)",16
islet of Langerhans,Homo sapiens,postnatal,female,Unknown,"[60 years old, 65 years old)",16
white pulp of spleen,Homo sapiens,unknown,others,Obesity,,16
liver lobule,Homo sapiens,,male,Unknown,,16
epidermal ridge of digit,Homo sapiens,postnatal,female,Unknown,"[35 years old, 40 years old)",16
nephron,Homo sapiens,postnatal,others,Unknown,"[75 years old, 80 years old)",16
liver lobule,Homo sapiens,postnatal,male,Unknown,"[35 years old, 40 years old)",16
thymus lobule,Homo sapiens,unknown,male,Unknown,,16
intestinal villus,Homo sapiens,postnatal,female,Unknown,"[5 years old, 10 years old)",16
thick ascending limb of loop of Henle,Homo sapiens,others,female,,,16
red pulp of spleen,Homo sapiens,postnatal,male,,"[30 years old, 35 years old)",16
intestinal villus,Homo sapiens,postnatal,male,Unknown,"[20 years old, 25 years old)",15
prostate glandular acinus,Homo sapiens,postnatal,female,Unknown,"[20 years old, 25 years old)",15
alveolus of lung,Homo sapiens,postnatal,others,Unknown,"[60 years old, 65 years old)",15
liver lobule,Homo sapiens,others,female,,,15
epidermal ridge of digit,Homo sapiens,postnatal,male,Unknown,"[55 years old, 60 years old)",15
islet of Langerhans,Homo sapiens,postnatal,others,Unknown,"[50 years old, 55 years old)",15
intestinal villus,Homo sapiens,prenatal,male,Unknown,,15
bronchus submucosal gland,Homo sapiens,postnatal,female,Unknown,"[50 years old, 55 years old)",15
pancreatic acinus,Homo sapiens,postnatal,male,Unknown,"[10 years old, 15 years old)",15
liver lobule,Homo sapiens,postnatal,female,Unknown,"[70 years old, 75 years old)",15
islet of Langerhans,Homo sapiens,postnatal,male,Unknown,<1 year old,15
alveolus of lung,Homo sapiens,postnatal,male,Unknown,"[45 years old, 50 years old)",15
red pulp of spleen,Homo sapiens,postnatal,male,Unknown,"[35 years old, 40 years old)",15
epidermal ridge of digit,Homo sapiens,postnatal,others,Unknown,"[75 years old, 80 years old)",15
epidermal ridge of digit,Homo sapiens,postnatal,male,Unknown,"[5 years old, 10 years old)",15
epidermal ridge of digit,Homo sapiens,postnatal,others,Unknown,"[50 years old, 55 years old)",15
inner medullary collecting duct,Homo sapiens,postnatal,male,Unknown,"[65 years old, 70 years old)",15
inner medullary collecting duct,Homo sapiens,others,female,Unknown,,15
pancreatic acinus,Homo sapiens,postnatal,others,Unknown,"[20 years old, 25 years old)",15
liver lobule,Homo sapiens,,female,Unknown,,15
bronchus submucosal gland,Homo sapiens,postnatal,male,Unknown,"[65 years old, 70 years old)",15
red pulp of spleen,Homo sapiens,unknown,others,Obesity,,15
red pulp of spleen,Homo sapiens,postnatal,male,Normal weight,"[30 years old, 35 years old)",15
red pulp of spleen,Homo sapiens,postnatal,others,Unknown,"[40 years old, 45 years old)",15
islet of Langerhans,Homo sapiens,postnatal,others,Unknown,"[40 years old, 45 years old)",14
renal corpuscle,Homo sapiens,postnatal,female,Unknown,"[25 years old, 30 years old)",14
bronchus submucosal gland,Homo sapiens,postnatal,male,Unknown,"[60 years old, 65 years old)",14
prostate glandular acinus,Homo sapiens,postnatal,others,Unknown,"[15 years old, 20 years old)",14
nephron,Homo sapiens,unknown,others,Overweight,,14
descending limb of loop of Henle,Homo sapiens,unknown,others,Normal weight,,14
inner medullary collecting duct,Homo sapiens,postnatal,male,Unknown,"[70 years old, 75 years old)",14
intestinal villus,Homo sapiens,postnatal,female,Normal weight,"[30 years old, 35 years old)",14
epidermal ridge of digit,Homo sapiens,postnatal,female,Unknown,"[10 years old, 15 years old)",14
thick ascending limb of loop of Henle,Homo sapiens,postnatal,others,Unknown,"[5 years old, 10 years old)",14
thick ascending limb of loop of Henle,Homo sapiens,postnatal,female,Unknown,"[20 years old, 25 years old)",14
inner medullary collecting duct,Homo sapiens,postnatal,female,Unknown,"[40 years old, 45 years old)",14
red pulp of spleen,Homo sapiens,,female,Unknown,,14
intestinal villus,Homo sapiens,postnatal,male,,"[30 years old, 35 years old)",14
thick ascending limb of loop of Henle,Homo sapiens,postnatal,male,Unknown,"[50 years old, 55 years old)",14
alveolus of lung,Homo sapiens,others,male,,,14
nephron,Homo sapiens,unknown,others,Underweight,,14
thick ascending limb of loop of Henle,Homo sapiens,postnatal,male,Unknown,"[55 years old, 60 years old)",14
inner medullary collecting duct,Homo sapiens,postnatal,female,Unknown,"[45 years old, 50 years old)",14
pancreatic acinus,Homo sapiens,postnatal,female,Unknown,"[15 years old, 20 years old)",14
islet of Langerhans,Homo sapiens,postnatal,male,Unknown,"[20 years old, 25 years old)",14
thymus lobule,Homo sapiens,postnatal,others,Unknown,<1 year old,14
bronchus submucosal gland,Homo sapiens,unknown,others,,,14
epidermal ridge of digit,Homo sapiens,postnatal,others,Unknown,"[55 years old, 60 years old)",14
pancreatic acinus,Homo sapiens,postnatal,male,Unknown,"[15 years old, 20 years old)",14
prostate glandular acinus,Homo sapiens,postnatal,male,Unknown,"[15 years old, 20 years old)",14
descending limb of loop of Henle,Homo sapiens,postnatal,female,Normal weight,"[30 years old, 35 years old)",13
intestinal villus,Homo sapiens,postnatal,female,Unknown,"[1 year old, 5 years old)",13
islet of Langerhans,Homo sapiens,postnatal,male,Unknown,"[50 years old, 55 years old)",13
islet of Langerhans,Homo sapiens,postnatal,others,Unknown,"[55 years old, 60 years old)",13
cortical collecting duct,Homo sapiens,others,female,,,13
intestinal villus,Homo sapiens,postnatal,female,Unknown,"[50 years old, 55 years old)",13
alveolus of lung,Homo sapiens,postnatal,others,Unknown,"[5 years old, 10 years old)",13
descending limb of loop of Henle,Homo sapiens,postnatal,female,Unknown,"[85 years old, 90 years old)",13
intestinal villus,Homo sapiens,postnatal,male,Unknown,"[10 years old, 15 years old)",13
liver lobule,Homo sapiens,postnatal,male,Unknown,"[15 years old, 20 years old)",13
alveolus of lung,Homo sapiens,postnatal,female,Unknown,"[45 years old, 50 years old)",13
liver lobule,Homo sapiens,postnatal,male,Unknown,"[20 years old, 25 years old)",13
prostate glandular acinus,Homo sapiens,postnatal,others,Unknown,"[10 years old, 15 years old)",13
intestinal villus,Homo sapiens,postnatal,male,Unknown,"[55 years old, 60 years old)",13
epidermal ridge of digit,Homo sapiens,unknown,others,Normal weight,,13
outer medullary collecting duct,Homo sapiens,postnatal,female,Unknown,"[25 years old, 30 years old)",13
intestinal villus,Homo sapiens,postnatal,male,Unknown,"[15 years old, 20 years old)",13
liver lobule,Homo sapiens,postnatal,male,Unknown,"[1 year old, 5 years old)",13
alveolus of lung,Homo sapiens,postnatal,female,Unknown,"[40 years old, 45 years old)",13
inner medullary collecting duct,Homo sapiens,postnatal,male,Unknown,"[40 years old, 45 years old)",13
alveolus of lung,Homo sapiens,postnatal,male,Unknown,"[60 years old, 65 years old)",13
intestinal villus,Homo sapiens,postnatal,others,Unknown,"[40 years old, 45 years old)",13
intestinal villus,Homo sapiens,postnatal,male,Unknown,"[70 years old, 75 years old)",13
white pulp of spleen,Homo sapiens,postnatal,male,Unknown,<1 year old,13
islet of Langerhans,Homo sapiens,postnatal,others,Unknown,"[20 years old, 25 years old)",13
red pulp of spleen,Homo sapiens,postnatal,male,Unknown,<1 year old,13
red pulp of spleen,Homo sapiens,postnatal,female,Unknown,"[65 years old, 70 years old)",13
thick ascending limb of loop of Henle,Homo sapiens,postnatal,male,Unknown,"[40 years old, 45 years old)",13
inner medullary collecting duct,Homo sapiens,postnatal,female,Unknown,"[20 years old, 25 years old)",13
nephron,Homo sapiens,postnatal,male,,"[40 years old, 45 years old)",13
liver lobule,Homo sapiens,postnatal,male,Unknown,<1 year old,13
thick ascending limb of loop of Henle,Homo sapiens,postnatal,female,Unknown,"[40 years old, 45 years old)",13
islet of Langerhans,Homo sapiens,postnatal,others,Unknown,"[1 year old, 5 years old)",13
islet of Langerhans,Homo sapiens,postnatal,male,Unknown,"[35 years old, 40 years old)",13
pancreatic acinus,Homo sapiens,postnatal,others,Unknown,"[30 years old, 35 years old)",13
pancreatic acinus,Homo sapiens,,,,,13
pancreatic acinus,Homo sapiens,postnatal,others,Unknown,"[55 years old, 60 years old)",13
islet of Langerhans,Homo sapiens,postnatal,female,Unknown,"[70 years old, 75 years old)",12
inner medullary collecting duct,Homo sapiens,postnatal,others,Unknown,"[15 years old, 20 years old)",12
prostate glandular acinus,Homo sapiens,postnatal,male,Unknown,"[65 years old, 70 years old)",12
white pulp of spleen,Homo sapiens,postnatal,others,Unknown,"[50 years old, 55 years old)",12
red pulp of spleen,Homo sapiens,postnatal,others,Unknown,"[50 years old, 55 years old)",12
papillary layer of dermis,Homo sapiens,postnatal,male,,"[30 years old, 35 years old)",12
epidermal ridge of digit,Homo sapiens,postnatal,female,Unknown,"[5 years old, 10 years old)",12
intestinal villus,Homo sapiens,unknown,female,Obesity,,12
papillary layer of dermis,Homo sapiens,postnatal,female,,"[20 years old, 25 years old)",12
inner medullary collecting duct,Homo sapiens,postnatal,others,Unknown,"[10 years old, 15 years old)",12
nephron,Homo sapiens,postnatal,female,Unknown,"[80 years old, 85 years old)",12
thick ascending limb of loop of Henle,Homo sapiens,postnatal,female,Unknown,"[65 years old, 70 years old)",12
inner medullary collecting duct,Homo sapiens,postnatal,male,Unknown,"[55 years old, 60 years old)",12
epidermal ridge of digit,Homo sapiens,postnatal,male,Unknown,"[10 years old, 15 years old)",12
cortical collecting duct,Homo sapiens,others,female,Unknown,,12
thick ascending limb of loop of Henle,Homo sapiens,postnatal,male,,"[30 years old, 35 years old)",12
liver lobule,Homo sapiens,postnatal,male,Unknown,"[75 years old, 80 years old)",12
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,female,Unknown,"[85 years old, 90 years old)",12
prostate glandular acinus,Homo sapiens,postnatal,female,Unknown,"[45 years old, 50 years old)",12
liver lobule,Homo sapiens,postnatal,male,,"[30 years old, 35 years old)",12
liver lobule,Homo sapiens,postnatal,others,Unknown,"[60 years old, 65 years old)",12
alveolus of lung,Homo sapiens,postnatal,female,Normal weight,"[30 years old, 35 years old)",12
pancreatic acinus,Homo sapiens,postnatal,male,Unknown,"[20 years old, 25 years old)",12
red pulp of spleen,Homo sapiens,postnatal,male,Unknown,"[80 years old, 85 years old)",12
inner medullary collecting duct,Homo sapiens,postnatal,male,Unknown,"[50 years old, 55 years old)",12
cortical collecting duct,Homo sapiens,postnatal,male,Unknown,"[65 years old, 70 years old)",12
outer medullary collecting duct,Homo sapiens,others,male,,,12
papillary layer of dermis,Homo sapiens,prenatal,female,Unknown,,12
liver lobule,Homo sapiens,postnatal,male,Unknown,"[5 years old, 10 years old)",12
alveolus of lung,Homo sapiens,postnatal,male,Unknown,"[50 years old, 55 years old)",12
crypt of Lieberkuhn of large intestine,Homo sapiens,,,,,12
bronchus submucosal gland,Homo sapiens,postnatal,male,Unknown,"[40 years old, 45 years old)",11
islet of Langerhans,Homo sapiens,postnatal,female,Unknown,"[15 years old, 20 years old)",11
bronchus submucosal gland,Homo sapiens,postnatal,male,Unknown,"[20 years old, 25 years old)",11
nephron,Homo sapiens,unknown,others,Normal weight,,11
alveolus of lung,Homo sapiens,postnatal,male,Unknown,<1 year old,11
papillary layer of dermis,Homo sapiens,unknown,others,Normal weight,,11
islet of Langerhans,Homo sapiens,postnatal,male,Unknown,"[15 years old, 20 years old)",11
liver lobule,Homo sapiens,postnatal,female,Unknown,"[75 years old, 80 years old)",11
islet of Langerhans,Homo sapiens,postnatal,female,Unknown,"[65 years old, 70 years old)",11
red pulp of spleen,Homo sapiens,postnatal,male,Unknown,"[1 year old, 5 years old)",11
cortical collecting duct,Homo sapiens,postnatal,female,Unknown,"[45 years old, 50 years old)",11
intestinal villus,Homo sapiens,postnatal,others,Unknown,"[55 years old, 60 years old)",11
prostate glandular acinus,Homo sapiens,postnatal,others,Unknown,"[65 years old, 70 years old)",11
prostate glandular acinus,Homo sapiens,others,male,,,11
intestinal villus,Homo sapiens,postnatal,male,Normal weight,"[30 years old, 35 years old)",11
liver lobule,Homo sapiens,postnatal,female,Unknown,"[15 years old, 20 years old)",11
descending limb of loop of Henle,Homo sapiens,prenatal,male,Unknown,,11
white pulp of spleen,Homo sapiens,postnatal,male,Normal weight,"[30 years old, 35 years old)",11
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,female,Unknown,"[1 year old, 5 years old)",11
white pulp of spleen,Homo sapiens,postnatal,male,Unknown,"[80 years old, 85 years old)",11
alveolus of lung,Homo sapiens,postnatal,others,Unknown,"[15 years old, 20 years old)",11
pancreatic acinus,Homo sapiens,postnatal,male,Unknown,<1 year old,11
inner medullary collecting duct,Homo sapiens,postnatal,female,Unknown,"[35 years old, 40 years old)",11
descending limb of loop of Henle,Homo sapiens,,others,,,11
cortical collecting duct,Homo sapiens,postnatal,female,Unknown,<1 year old,11
bronchus submucosal gland,Homo sapiens,postnatal,female,Unknown,"[70 years old, 75 years old)",11
red pulp of spleen,Homo sapiens,postnatal,male,,"[40 years old, 45 years old)",11
inner medullary collecting duct,Homo sapiens,postnatal,female,Unknown,"[10 years old, 15 years old)",11
epidermal ridge of digit,Homo sapiens,postnatal,male,Unknown,"[75 years old, 80 years old)",11
cortical collecting duct,Homo sapiens,postnatal,female,Unknown,"[65 years old, 70 years old)",11
bronchus submucosal gland,Homo sapiens,postnatal,female,Unknown,"[60 years old, 65 years old)",11
alveolus of lung,Homo sapiens,postnatal,female,Unknown,"[60 years old, 65 years old)",11
pancreatic acinus,Homo sapiens,postnatal,female,Unknown,<1 year old,10
papillary layer of dermis,Homo sapiens,unknown,male,,,10
islet of Langerhans,Homo sapiens,unknown,others,Overweight,,10
liver lobule,Homo sapiens,postnatal,others,Unknown,"[20 years old, 25 years old)",10
alveolus of lung,Homo sapiens,postnatal,male,Unknown,"[55 years old, 60 years old)",10
red pulp of spleen,Homo sapiens,postnatal,female,Unknown,"[75 years old, 80 years old)",10
alveolus of lung,Homo sapiens,unknown,others,Obesity,,10
intestinal villus,Homo sapiens,unknown,others,Normal weight,,10
islet of Langerhans,Homo sapiens,postnatal,others,Unknown,"[70 years old, 75 years old)",10
descending limb of loop of Henle,Homo sapiens,postnatal,male,,"[30 years old, 35 years old)",10
intestinal villus,Homo sapiens,postnatal,female,Unknown,"[80 years old, 85 years old)",10
pancreatic acinus,Homo sapiens,postnatal,others,Unknown,"[45 years old, 50 years old)",10
white pulp of spleen,Homo sapiens,postnatal,female,Unknown,"[1 year old, 5 years old)",10
inner medullary collecting duct,Homo sapiens,postnatal,female,Unknown,"[50 years old, 55 years old)",10
islet of Langerhans,Homo sapiens,postnatal,others,Unknown,"[30 years old, 35 years old)",10
thick ascending limb of loop of Henle,Homo sapiens,,male,Unknown,,10
epidermal ridge of digit,Homo sapiens,postnatal,female,,"[20 years old, 25 years old)",10
epidermal ridge of digit,Homo sapiens,postnatal,male,Unknown,<1 year old,10
inner medullary collecting duct,Homo sapiens,postnatal,female,Unknown,"[30 years old, 35 years old)",10
epidermal ridge of digit,Homo sapiens,postnatal,female,,"[25 years old, 30 years old)",10
papillary layer of dermis,Homo sapiens,postnatal,female,Unknown,others,10
pancreatic acinus,Homo sapiens,postnatal,others,Unknown,"[35 years old, 40 years old)",10
crypt of Lieberkuhn of large intestine,Homo sapiens,others,others,,,10
inner medullary collecting duct,Homo sapiens,,male,Unknown,,10
intestinal villus,Homo sapiens,postnatal,female,Unknown,"[70 years old, 75 years old)",10
thick ascending limb of loop of Henle,Homo sapiens,postnatal,female,Unknown,"[50 years old, 55 years old)",10
