ftu,pmcid,graphic,sex_tag,value,unit
crypt of Lieberkuhn of large intestine,PMC6353789,fimmu-10-00021-g0008,female,20,um
nephron,PMC7461256,12610_2020_111_Fig4_HTML,male,50,um
nephron,PMC7461256,12610_2020_111_Fig4_HTML,male,25,um
prostate glandular acinus,PMC7461256,12610_2020_111_Fig4_HTML,male,50,um
prostate glandular acinus,PMC7461256,12610_2020_111_Fig4_HTML,male,25,um
descending limb of loop of Henle,PMC7455909,13287_2020_1881_Fig1_HTML,female,500,um
descending limb of loop of Henle,PMC7455909,13287_2020_1881_Fig1_HTML,female,100,um
nephron,PMC7461256,12610_2020_111_Fig3_HTML,male,50,um
nephron,PMC7461256,12610_2020_111_Fig3_HTML,male,25,um
prostate glandular acinus,PMC7461256,12610_2020_111_Fig3_HTML,male,50,um
prostate glandular acinus,PMC7461256,12610_2020_111_Fig3_HTML,male,25,um
islet of Langerhans,PMC7457809,12915_2020_840_Fig7_HTML,male,20,um
islet of Langerhans,PMC7457809,12915_2020_840_Fig7_HTML,male,100,um
islet of Langerhans,PMC7457809,12915_2020_840_Fig7_HTML,male,100,um
pancreatic acinus,PMC7457809,12915_2020_840_Fig7_HTML,male,20,um
pancreatic acinus,PMC7457809,12915_2020_840_Fig7_HTML,male,100,um
pancreatic acinus,PMC7457809,12915_2020_840_Fig7_HTML,male,100,um
nephron,PMC7461256,12610_2020_111_Fig2_HTML,male,50,um
prostate glandular acinus,PMC7461256,12610_2020_111_Fig2_HTML,male,50,um
islet of Langerhans,PMC7443437,41378_2020_164_Fig4_HTML,male,100,um
nephron,PMC7443437,41378_2020_164_Fig4_HTML,male,20,um
islet of Langerhans,PMC7443437,41378_2020_164_Fig4_HTML,male,50,um
islet of Langerhans,PMC7443437,41378_2020_164_Fig4_HTML,male,20,um
intestinal villus,PMC7443437,41378_2020_164_Fig4_HTML,male,100,um
intestinal villus,PMC7443437,41378_2020_164_Fig4_HTML,male,50,um
intestinal villus,PMC7443437,41378_2020_164_Fig4_HTML,male,20,um
nephron,PMC7443437,41378_2020_164_Fig4_HTML,male,100,um
nephron,PMC7443437,41378_2020_164_Fig4_HTML,male,50,um
islet of Langerhans,PMC7443437,41378_2020_164_Fig4_HTML,female,100,um
nephron,PMC7443437,41378_2020_164_Fig4_HTML,female,20,um
islet of Langerhans,PMC7443437,41378_2020_164_Fig4_HTML,female,50,um
islet of Langerhans,PMC7443437,41378_2020_164_Fig4_HTML,female,20,um
intestinal villus,PMC7443437,41378_2020_164_Fig4_HTML,female,100,um
intestinal villus,PMC7443437,41378_2020_164_Fig4_HTML,female,50,um
intestinal villus,PMC7443437,41378_2020_164_Fig4_HTML,female,20,um
nephron,PMC7443437,41378_2020_164_Fig4_HTML,female,100,um
nephron,PMC7443437,41378_2020_164_Fig4_HTML,female,50,um
nephron,PMC5693903,41598_2017_16216_Fig3_HTML,female,50,um
white pulp of spleen,PMC5647367,41598_2017_13373_Fig4_HTML,female,50,um
red pulp of spleen,PMC5647367,41598_2017_13373_Fig4_HTML,female,50,um
nephron,PMC5658478,247_2017_3931_Fig1_HTML,male,50,um
nephron,PMC5658478,247_2017_3931_Fig1_HTML,male,50,um
nephron,PMC5658478,247_2017_3931_Fig1_HTML,male,20,um
nephron,PMC5658478,247_2017_3931_Fig1_HTML,male,20,um
liver lobule,PMC5670146,fncel-11-00343-g0005,female,40,um
liver lobule,PMC5639266,IEP-98-221-g004,male,100,um
liver lobule,PMC5639266,IEP-98-221-g004,male,100,um
liver lobule,PMC5639266,IEP-98-221-g004,male,100,um
nephron,PMC5686208,41467_2017_1646_Fig1_HTML,male,50,um
nephron,PMC5686208,41467_2017_1646_Fig1_HTML,male,100,um
nephron,PMC5686208,41467_2017_1646_Fig1_HTML,female,50,um
nephron,PMC5686208,41467_2017_1646_Fig1_HTML,female,100,um
nephron,PMC10216377,cells-12-01346-g009,female,1,um
epidermal ridge of digit,PMC10191027,EXP2-2-20210223-g011,female,10,um
epidermal ridge of digit,PMC10191027,EXP2-2-20210223-g011,female,10,um
papillary layer of dermis,PMC10228551,nihms-1899388-f0008,male,50,um
papillary layer of dermis,PMC10228551,nihms-1899388-f0008,male,50,um
papillary layer of dermis,PMC10228551,nihms-1899388-f0008,male,200,um
papillary layer of dermis,PMC10228551,nihms-1899388-f0008,male,200,um
papillary layer of dermis,PMC10228551,nihms-1899388-f0008,male,10,um
papillary layer of dermis,PMC10228551,nihms-1899388-f0008,male,10,um
nephron,PMC10216377,cells-12-01346-g006,female,2,um
nephron,PMC10216377,cells-12-01346-g006,female,1,um
nephron,PMC10216377,cells-12-01346-g002,female,1,um
nephron,PMC11277139,ijms-25-07715-g005,female,75,um
islet of Langerhans,PMC11269803,gr1,male,20,um
islet of Langerhans,PMC11269803,gr1,male,1,um
pancreatic acinus,PMC11269803,gr1,male,20,um
pancreatic acinus,PMC11269803,gr1,male,1,um
nephron,PMC11291673,41598_2024_67636_Fig8_HTML,male,2,um
prostate glandular acinus,PMC11291673,41598_2024_67636_Fig8_HTML,male,2,um
nephron,PMC11291673,41598_2024_67636_Fig8_HTML,female,2,um
prostate glandular acinus,PMC11291673,41598_2024_67636_Fig8_HTML,female,2,um
crypt of Lieberkuhn of large intestine,PMC6395665,41598_2019_39537_Fig1_HTML,male,10,um
nephron,PMC6395665,41598_2019_39537_Fig1_HTML,male,10,um
crypt of Lieberkuhn of large intestine,PMC6395665,41598_2019_39537_Fig1_HTML,male,10,um
nephron,PMC6395665,41598_2019_39537_Fig1_HTML,male,10,um
prostate glandular acinus,PMC9055906,CPR-55-e13216-g001,female,100,um
prostate glandular acinus,PMC9055906,CPR-55-e13216-g001,female,100,um
prostate glandular acinus,PMC9055906,CPR-55-e13216-g001,female,100,um
prostate glandular acinus,PMC9055906,CPR-55-e13216-g001,female,100,um
papillary layer of dermis,PMC9120110,41467_2022_30471_Fig4_HTML,male,500,um
papillary layer of dermis,PMC9120110,41467_2022_30471_Fig4_HTML,male,500,um
papillary layer of dermis,PMC9120110,41467_2022_30471_Fig4_HTML,female,500,um
papillary layer of dermis,PMC9120110,41467_2022_30471_Fig4_HTML,female,500,um
pancreatic acinus,PMC9081905,EMMM-14-e12860-g005,female,50,um
pancreatic acinus,PMC9081905,EMMM-14-e12860-g005,female,200,um
pancreatic acinus,PMC9081905,EMMM-14-e12860-g005,female,100,um
nephron,PMC9057608,jci-132-147253-g222,female,20,um
nephron,PMC9057608,jci-132-147253-g222,female,0.5,um
papillary layer of dermis,PMC9120110,41467_2022_30471_Fig3_HTML,female,500,um
nephron,PMC9097848,JCMM-26-2908-g004,female,50,um
nephron,PMC9097848,JCMM-26-2908-g004,female,10,um
intestinal villus,PMC9106349,jci-132-154997-g002,female,20,um
intestinal villus,PMC9106349,jci-132-154997-g002,female,2,um
intestinal villus,PMC9106349,jci-132-154997-g002,female,1,um
intestinal villus,PMC9106349,jci-132-154997-g002,female,0.5,um
intestinal villus,PMC9106349,jci-132-154997-g002,male,20,um
intestinal villus,PMC9106349,jci-132-154997-g002,male,2,um
intestinal villus,PMC9106349,jci-132-154997-g002,male,1,um
intestinal villus,PMC9106349,jci-132-154997-g002,male,0.5,um
intestinal villus,PMC9106349,jci-132-154997-g002,male,20,um
intestinal villus,PMC9106349,jci-132-154997-g002,male,2,um
intestinal villus,PMC9106349,jci-132-154997-g002,male,1,um
intestinal villus,PMC9106349,jci-132-154997-g002,male,0.5,um
intestinal villus,PMC9061966,fphar-13-852669-g002,male,10,um
intestinal villus,PMC9061966,fphar-13-852669-g002,male,25,um
intestinal villus,PMC9061966,fphar-13-852669-g002,male,25,um
intestinal villus,PMC9061966,fphar-13-852669-g002,male,25,um
intestinal villus,PMC9061966,fphar-13-852669-g002,male,25,um
intestinal villus,PMC9061966,fphar-13-852669-g002,male,200,um
intestinal villus,PMC9061966,fphar-13-852669-g002,male,10,um
intestinal villus,PMC9061966,fphar-13-852669-g002,male,10,um
intestinal villus,PMC9061966,fphar-13-852669-g002,male,10,um
intestinal villus,PMC9061966,fphar-13-852669-g002,female,10,um
intestinal villus,PMC9061966,fphar-13-852669-g002,female,25,um
intestinal villus,PMC9061966,fphar-13-852669-g002,female,25,um
intestinal villus,PMC9061966,fphar-13-852669-g002,female,25,um
intestinal villus,PMC9061966,fphar-13-852669-g002,female,25,um
intestinal villus,PMC9061966,fphar-13-852669-g002,female,200,um
intestinal villus,PMC9061966,fphar-13-852669-g002,female,10,um
intestinal villus,PMC9061966,fphar-13-852669-g002,female,10,um
intestinal villus,PMC9061966,fphar-13-852669-g002,female,10,um
islet of Langerhans,PMC9076751,125_2022_5675_Fig6_HTML,male,50,um
islet of Langerhans,PMC9076751,125_2022_5675_Fig6_HTML,male,5,um
crypt of Lieberkuhn of large intestine,PMC9076751,125_2022_5675_Fig6_HTML,male,50,um
crypt of Lieberkuhn of large intestine,PMC9076751,125_2022_5675_Fig6_HTML,male,5,um
crypt of Lieberkuhn of large intestine,PMC9114889,fcimb-12-882843-g005,female,0.1,um
papillary layer of dermis,PMC9120110,41467_2022_30471_Fig2_HTML,male,500,um
papillary layer of dermis,PMC9120110,41467_2022_30471_Fig2_HTML,female,500,um
papillary layer of dermis,PMC9056207,ECAM2022-9302403.006,female,50,um
papillary layer of dermis,PMC9056207,ECAM2022-9302403.006,female,50,um
white pulp of spleen,PMC10864055,IJG2024-4123737.005,female,50,um
white pulp of spleen,PMC10864055,IJG2024-4123737.005,female,20,um
red pulp of spleen,PMC10864055,IJG2024-4123737.005,female,50,um
red pulp of spleen,PMC10864055,IJG2024-4123737.005,female,20,um
papillary layer of dermis,PMC10864055,IJG2024-4123737.005,female,50,um
papillary layer of dermis,PMC10864055,IJG2024-4123737.005,female,20,um
crypt of Lieberkuhn of large intestine,PMC10867225,fmicb-14-1303235-g008,female,20,um
crypt of Lieberkuhn of large intestine,PMC10867225,fmicb-14-1303235-g008,female,14,um
nephron,PMC10867225,fmicb-14-1303235-g008,female,20,um
nephron,PMC10867225,fmicb-14-1303235-g008,female,14,um
papillary layer of dermis,PMC10867225,fmicb-14-1303235-g008,female,20,um
papillary layer of dermis,PMC10867225,fmicb-14-1303235-g008,female,14,um
alveolus of lung,PMC10868682,JAVAR-10-720-g007,male,100,um
white pulp of spleen,PMC10868682,JAVAR-10-720-g007,male,100,um
nephron,PMC10868682,JAVAR-10-720-g007,male,100,um
red pulp of spleen,PMC10868682,JAVAR-10-720-g007,male,100,um
alveolus of lung,PMC10868682,JAVAR-10-720-g007,female,100,um
white pulp of spleen,PMC10868682,JAVAR-10-720-g007,female,100,um
nephron,PMC10868682,JAVAR-10-720-g007,female,100,um
red pulp of spleen,PMC10868682,JAVAR-10-720-g007,female,100,um
epidermal ridge of digit,PMC9860590,ijms-24-01132-g003,male,25,um
epidermal ridge of digit,PMC9860590,ijms-24-01132-g003,male,100,um
epidermal ridge of digit,PMC9860590,ijms-24-01132-g003,male,25,um
epidermal ridge of digit,PMC9860590,ijms-24-01132-g003,male,100,um
intestinal villus,PMC9863741,nutrients-15-00376-g001,male,50,um
intestinal villus,PMC9863741,nutrients-15-00376-g001,female,50,um
prostate glandular acinus,PMC9874957,RAF-22-0022fig1,male,50,um
prostate glandular acinus,PMC9874957,RAF-22-0022fig1,female,50,um
prostate glandular acinus,PMC9874957,RAF-22-0022fig1,male,50,um
prostate glandular acinus,PMC9874957,RAF-22-0022fig2,male,50,um
prostate glandular acinus,PMC9874957,RAF-22-0022fig2,male,50,um
prostate glandular acinus,PMC9874957,RAF-22-0022fig2,female,50,um
prostate glandular acinus,PMC9874957,RAF-22-0022fig2,female,50,um
nephron,PMC9884226,41467_2023_36068_Fig4_HTML,male,4,um
nephron,PMC9884226,41467_2023_36068_Fig4_HTML,male,20,um
nephron,PMC9884226,41467_2023_36068_Fig4_HTML,male,20,um
nephron,PMC9884226,41467_2023_36068_Fig4_HTML,female,4,um
nephron,PMC9884226,41467_2023_36068_Fig4_HTML,female,20,um
nephron,PMC9884226,41467_2023_36068_Fig4_HTML,female,20,um
epidermal ridge of digit,PMC5709413,41467_2017_2005_Fig1_HTML,female,25,um
white pulp of spleen,PMC5723638,fimmu-08-01712-g002,female,25,um
white pulp of spleen,PMC5723638,fimmu-08-01712-g002,female,100,um
red pulp of spleen,PMC5723638,fimmu-08-01712-g002,female,25,um
red pulp of spleen,PMC5723638,fimmu-08-01712-g002,female,100,um
white pulp of spleen,PMC5723638,fimmu-08-01712-g002,female,25,um
white pulp of spleen,PMC5723638,fimmu-08-01712-g002,female,100,um
red pulp of spleen,PMC5723638,fimmu-08-01712-g002,female,25,um
red pulp of spleen,PMC5723638,fimmu-08-01712-g002,female,100,um
white pulp of spleen,PMC5723638,fimmu-08-01712-g001,female,250,um
white pulp of spleen,PMC5723638,fimmu-08-01712-g001,female,100,um
white pulp of spleen,PMC5723638,fimmu-08-01712-g001,female,50,um
red pulp of spleen,PMC5723638,fimmu-08-01712-g001,female,250,um
red pulp of spleen,PMC5723638,fimmu-08-01712-g001,female,100,um
red pulp of spleen,PMC5723638,fimmu-08-01712-g001,female,50,um
white pulp of spleen,PMC5723638,fimmu-08-01712-g001,female,250,um
white pulp of spleen,PMC5723638,fimmu-08-01712-g001,female,100,um
white pulp of spleen,PMC5723638,fimmu-08-01712-g001,female,50,um
red pulp of spleen,PMC5723638,fimmu-08-01712-g001,female,250,um
red pulp of spleen,PMC5723638,fimmu-08-01712-g001,female,100,um
red pulp of spleen,PMC5723638,fimmu-08-01712-g001,female,50,um
white pulp of spleen,PMC5723638,fimmu-08-01712-g001,female,250,um
white pulp of spleen,PMC5723638,fimmu-08-01712-g001,female,100,um
white pulp of spleen,PMC5723638,fimmu-08-01712-g001,female,50,um
red pulp of spleen,PMC5723638,fimmu-08-01712-g001,female,250,um
red pulp of spleen,PMC5723638,fimmu-08-01712-g001,female,100,um
red pulp of spleen,PMC5723638,fimmu-08-01712-g001,female,50,um
white pulp of spleen,PMC5723638,fimmu-08-01712-g001,female,250,um
white pulp of spleen,PMC5723638,fimmu-08-01712-g001,female,100,um
white pulp of spleen,PMC5723638,fimmu-08-01712-g001,female,50,um
red pulp of spleen,PMC5723638,fimmu-08-01712-g001,female,250,um
red pulp of spleen,PMC5723638,fimmu-08-01712-g001,female,100,um
red pulp of spleen,PMC5723638,fimmu-08-01712-g001,female,50,um
white pulp of spleen,PMC5723638,fimmu-08-01712-g001,male,250,um
white pulp of spleen,PMC5723638,fimmu-08-01712-g001,male,100,um
white pulp of spleen,PMC5723638,fimmu-08-01712-g001,male,50,um
red pulp of spleen,PMC5723638,fimmu-08-01712-g001,male,250,um
red pulp of spleen,PMC5723638,fimmu-08-01712-g001,male,100,um
red pulp of spleen,PMC5723638,fimmu-08-01712-g001,male,50,um
white pulp of spleen,PMC5723638,fimmu-08-01712-g001,male,250,um
white pulp of spleen,PMC5723638,fimmu-08-01712-g001,male,100,um
white pulp of spleen,PMC5723638,fimmu-08-01712-g001,male,50,um
red pulp of spleen,PMC5723638,fimmu-08-01712-g001,male,250,um
red pulp of spleen,PMC5723638,fimmu-08-01712-g001,male,100,um
red pulp of spleen,PMC5723638,fimmu-08-01712-g001,male,50,um
descending limb of loop of Henle,PMC5715029,41598_2017_17069_Fig3_HTML,female,50,um
descending limb of loop of Henle,PMC5723708,gr4,female,50,um
descending limb of loop of Henle,PMC5723708,gr4,female,5,um
pancreatic acinus,PMC5723096,12958_2017_312_Fig2_HTML,female,50,um
red pulp of spleen,PMC8173966,13287_2021_2382_Fig5_HTML,female,100,um
papillary layer of dermis,PMC8193438,jamanetwopen-e2111369-g004,female,20,um
papillary layer of dermis,PMC8193438,jamanetwopen-e2111369-g004,female,20,um
papillary layer of dermis,PMC8193438,jamanetwopen-e2111369-g004,female,100,um
papillary layer of dermis,PMC8193438,jamanetwopen-e2111369-g004,female,100,um
prostate glandular acinus,PMC8165781,12958_2021_765_Fig2_HTML,female,50,um
islet of Langerhans,PMC8203638,41598_2021_91745_Fig4_HTML,female,50,um
pancreatic acinus,PMC8203638,41598_2021_91745_Fig4_HTML,female,50,um
pancreatic acinus,PMC8203638,41598_2021_91745_Fig4_HTML,female,250,um
pancreatic acinus,PMC8203638,41598_2021_91745_Fig4_HTML,female,25,um
crypt of Lieberkuhn of large intestine,PMC8203638,41598_2021_91745_Fig4_HTML,female,25,um
intestinal villus,PMC8203638,41598_2021_91745_Fig4_HTML,female,50,um
intestinal villus,PMC8203638,41598_2021_91745_Fig4_HTML,female,250,um
intestinal villus,PMC8203638,41598_2021_91745_Fig4_HTML,female,25,um
nephron,PMC8203638,41598_2021_91745_Fig4_HTML,female,50,um
nephron,PMC8203638,41598_2021_91745_Fig4_HTML,female,250,um
nephron,PMC8203638,41598_2021_91745_Fig4_HTML,female,25,um
islet of Langerhans,PMC8203638,41598_2021_91745_Fig4_HTML,female,250,um
islet of Langerhans,PMC8203638,41598_2021_91745_Fig4_HTML,female,25,um
alveolus of lung,PMC8203638,41598_2021_91745_Fig4_HTML,female,50,um
alveolus of lung,PMC8203638,41598_2021_91745_Fig4_HTML,female,250,um
alveolus of lung,PMC8203638,41598_2021_91745_Fig4_HTML,female,25,um
crypt of Lieberkuhn of large intestine,PMC8203638,41598_2021_91745_Fig4_HTML,female,50,um
crypt of Lieberkuhn of large intestine,PMC8203638,41598_2021_91745_Fig4_HTML,female,250,um
crypt of Lieberkuhn of large intestine,PMC8208577,pgen.1009602.g015,male,6,um
crypt of Lieberkuhn of large intestine,PMC8208577,pgen.1009602.g015,female,6,um
papillary layer of dermis,PMC8172052,dp1103a68g004,female,100,um
papillary layer of dermis,PMC8172052,dp1103a68g004,female,100,um
islet of Langerhans,PMC9014265,fimmu-13-869669-g003,female,50,um
red pulp of spleen,PMC9014265,fimmu-13-869669-g003,female,50,um
intestinal villus,PMC9004617,fonc-12-860446-g005,female,200,um
intestinal villus,PMC8985411,fphar-13-849074-g001,female,100,um
intestinal villus,PMC8985411,fphar-13-849074-g001,female,100,um
intestinal villus,PMC8997907,cells-11-01152-g004,female,50,um
intestinal villus,PMC8997907,cells-11-01152-g004,female,25,um
pancreatic acinus,PMC10486483,cells-12-02185-g002,female,100,um
pancreatic acinus,PMC10486483,cells-12-02185-g002,female,100,um
pancreatic acinus,PMC10486483,cells-12-02185-g002,female,100,um
pancreatic acinus,PMC10486483,cells-12-02185-g002,female,100,um
liver lobule,PMC10486483,cells-12-02185-g002,female,100,um
liver lobule,PMC10486483,cells-12-02185-g002,female,100,um
liver lobule,PMC10486483,cells-12-02185-g002,female,100,um
liver lobule,PMC10486483,cells-12-02185-g002,female,100,um
papillary layer of dermis,PMC10495415,41467_2023_41318_Fig2_HTML,male,20,um
papillary layer of dermis,PMC10495415,41467_2023_41318_Fig2_HTML,female,20,um
prostate glandular acinus,PMC10494240,fendo-14-1242263-g004,male,50,um
prostate glandular acinus,PMC10494240,fendo-14-1242263-g004,male,50,um
crypt of Lieberkuhn of large intestine,PMC10496222,12885_2023_11370_Fig4_HTML,female,100,um
red pulp of spleen,PMC10454663,ijms-24-12603-g002,female,100,um
red pulp of spleen,PMC10454663,ijms-24-12603-g002,female,200,um
red pulp of spleen,PMC10454663,ijms-24-12603-g002,female,200,um
papillary layer of dermis,PMC10495415,41467_2023_41318_Fig3_HTML,male,20,um
papillary layer of dermis,PMC10495415,41467_2023_41318_Fig3_HTML,female,20,um
pancreatic acinus,PMC10486483,cells-12-02185-g003,female,20,um
pancreatic acinus,PMC10486483,cells-12-02185-g003,female,20,um
pancreatic acinus,PMC10486483,cells-12-02185-g003,female,100,um
pancreatic acinus,PMC10486483,cells-12-02185-g003,female,100,um
liver lobule,PMC10486483,cells-12-02185-g003,female,20,um
liver lobule,PMC10486483,cells-12-02185-g003,female,20,um
liver lobule,PMC10486483,cells-12-02185-g003,female,100,um
liver lobule,PMC10486483,cells-12-02185-g003,female,100,um
prostate glandular acinus,PMC10494240,fendo-14-1242263-g006,male,50,um
prostate glandular acinus,PMC10494240,fendo-14-1242263-g006,male,50,um
prostate glandular acinus,PMC10494240,fendo-14-1242263-g005,male,50,um
prostate glandular acinus,PMC10494240,fendo-14-1242263-g005,male,10,um
prostate glandular acinus,PMC10494240,fendo-14-1242263-g011,male,50,um
prostate glandular acinus,PMC10494240,fendo-14-1242263-g011,male,50,um
prostate glandular acinus,PMC10494240,fendo-14-1242263-g007,male,50,um
prostate glandular acinus,PMC10494240,fendo-14-1242263-g007,male,50,um
crypt of Lieberkuhn of large intestine,PMC10541818,428_2023_3590_Fig7_HTML,male,50,um
nephron,PMC10548736,40360_2023_692_Fig8_HTML,male,50,um
nephron,PMC10548736,40360_2023_692_Fig8_HTML,female,50,um
nephron,PMC10548736,40360_2023_692_Fig8_HTML,female,50,um
nephron,PMC10548736,40360_2023_692_Fig8_HTML,female,50,um
nephron,PMC10653996,jvi.01104-23.f005,male,50,um
prostate glandular acinus,PMC10653996,jvi.01104-23.f005,male,50,um
nephron,PMC10684065,pone.0294791.g007,female,100,um
islet of Langerhans,PMC10659042,13287_2023_3532_Fig4_HTML,male,200,um
liver lobule,PMC10659042,13287_2023_3532_Fig4_HTML,male,200,um
red pulp of spleen,PMC10659042,13287_2023_3532_Fig4_HTML,male,200,um
islet of Langerhans,PMC10659042,13287_2023_3532_Fig4_HTML,male,200,um
liver lobule,PMC10659042,13287_2023_3532_Fig4_HTML,male,200,um
red pulp of spleen,PMC10659042,13287_2023_3532_Fig4_HTML,male,200,um
islet of Langerhans,PMC10659042,13287_2023_3532_Fig4_HTML,female,200,um
liver lobule,PMC10659042,13287_2023_3532_Fig4_HTML,female,200,um
red pulp of spleen,PMC10659042,13287_2023_3532_Fig4_HTML,female,200,um
islet of Langerhans,PMC10659042,13287_2023_3532_Fig4_HTML,female,200,um
liver lobule,PMC10659042,13287_2023_3532_Fig4_HTML,female,200,um
red pulp of spleen,PMC10659042,13287_2023_3532_Fig4_HTML,female,200,um
islet of Langerhans,PMC10659042,13287_2023_3532_Fig3_HTML,male,100,um
liver lobule,PMC10659042,13287_2023_3532_Fig3_HTML,male,100,um
red pulp of spleen,PMC10659042,13287_2023_3532_Fig3_HTML,male,100,um
islet of Langerhans,PMC10659042,13287_2023_3532_Fig3_HTML,female,100,um
liver lobule,PMC10659042,13287_2023_3532_Fig3_HTML,female,100,um
red pulp of spleen,PMC10659042,13287_2023_3532_Fig3_HTML,female,100,um
white pulp of spleen,PMC10650405,diagnostics-13-03321-g011,male,50,um
white pulp of spleen,PMC10650405,diagnostics-13-03321-g011,male,50,um
white pulp of spleen,PMC10650405,diagnostics-13-03321-g011,male,50,um
white pulp of spleen,PMC10650405,diagnostics-13-03321-g011,male,50,um
white pulp of spleen,PMC10650405,diagnostics-13-03321-g011,male,20,um
white pulp of spleen,PMC10650405,diagnostics-13-03321-g011,male,20,um
white pulp of spleen,PMC10650405,diagnostics-13-03321-g011,male,20,um
white pulp of spleen,PMC10650405,diagnostics-13-03321-g011,male,20,um
papillary layer of dermis,PMC10664345,pne-0058-0337-g05,female,50,um
papillary layer of dermis,PMC10664345,pne-0058-0337-g05,male,50,um
nephron,PMC10670511,cells-12-02635-g002,female,20,um
nephron,PMC10670511,cells-12-02635-g002,female,100,um
nephron,PMC10670511,cells-12-02635-g002,female,100,um
papillary layer of dermis,PMC10664345,pne-0058-0337-g06,male,50,um
papillary layer of dermis,PMC10664345,pne-0058-0337-g06,male,20,um
papillary layer of dermis,PMC10664345,pne-0058-0337-g06,male,100,um
papillary layer of dermis,PMC10664345,pne-0058-0337-g06,female,50,um
papillary layer of dermis,PMC10664345,pne-0058-0337-g06,female,20,um
papillary layer of dermis,PMC10664345,pne-0058-0337-g06,female,100,um
papillary layer of dermis,PMC10664345,pne-0058-0337-g06,male,50,um
papillary layer of dermis,PMC10664345,pne-0058-0337-g06,male,20,um
papillary layer of dermis,PMC10664345,pne-0058-0337-g06,male,100,um
papillary layer of dermis,PMC10690428,fbioe-11-1254739-g004,female,100,um
papillary layer of dermis,PMC10664345,pne-0058-0337-g01,male,50,um
papillary layer of dermis,PMC10664345,pne-0058-0337-g01,male,50,um
papillary layer of dermis,PMC10664345,pne-0058-0337-g01,male,100,um
papillary layer of dermis,PMC10664345,pne-0058-0337-g01,male,500,um
papillary layer of dermis,PMC10664345,pne-0058-0337-g01,male,50,um
papillary layer of dermis,PMC10664345,pne-0058-0337-g01,male,50,um
papillary layer of dermis,PMC10664345,pne-0058-0337-g01,male,100,um
papillary layer of dermis,PMC10664345,pne-0058-0337-g01,male,500,um
descending limb of loop of Henle,PMC10679756,fncel-17-1253543-g001,male,5,um
descending limb of loop of Henle,PMC10679756,fncel-17-1253543-g001,male,5,um
descending limb of loop of Henle,PMC10679756,fncel-17-1253543-g001,female,5,um
descending limb of loop of Henle,PMC10679756,fncel-17-1253543-g001,female,5,um
white pulp of spleen,PMC10663252,11356_2023_30386_Fig2_HTML,female,5,um
red pulp of spleen,PMC10663252,11356_2023_30386_Fig2_HTML,female,2,um
liver lobule,PMC10663252,11356_2023_30386_Fig2_HTML,female,5,um
liver lobule,PMC10663252,11356_2023_30386_Fig2_HTML,female,5,um
liver lobule,PMC10663252,11356_2023_30386_Fig2_HTML,female,2,um
white pulp of spleen,PMC10663252,11356_2023_30386_Fig2_HTML,female,5,um
white pulp of spleen,PMC10663252,11356_2023_30386_Fig2_HTML,female,2,um
renal corpuscle,PMC10663252,11356_2023_30386_Fig2_HTML,female,5,um
renal corpuscle,PMC10663252,11356_2023_30386_Fig2_HTML,female,5,um
renal corpuscle,PMC10663252,11356_2023_30386_Fig2_HTML,female,2,um
red pulp of spleen,PMC10663252,11356_2023_30386_Fig2_HTML,female,5,um
red pulp of spleen,PMC10663252,11356_2023_30386_Fig2_HTML,female,5,um
crypt of Lieberkuhn of large intestine,PMC10302959,pathogens-12-00810-g010,female,200,um
prostate glandular acinus,PMC10275919,41419_2023_5882_Fig3_HTML,male,100,um
prostate glandular acinus,PMC10275919,41419_2023_5882_Fig3_HTML,female,100,um
papillary layer of dermis,PMC10317950,13244_2023_1417_Fig12_HTML,female,100,um
papillary layer of dermis,PMC10317950,13244_2023_1417_Fig12_HTML,female,100,um
papillary layer of dermis,PMC10305096,pharmaceuticals-16-00894-g008,female,100,um
intestinal villus,PMC10299641,ijms-24-10155-g005,female,50,um
intestinal villus,PMC10299641,ijms-24-10155-g005,female,50,um
prostate glandular acinus,PMC10275919,41419_2023_5882_Fig2_HTML,male,100,um
prostate glandular acinus,PMC10275919,41419_2023_5882_Fig2_HTML,female,100,um
prostate glandular acinus,PMC10275919,41419_2023_5882_Fig1_HTML,male,100,um
prostate glandular acinus,PMC10275919,41419_2023_5882_Fig1_HTML,female,100,um
intestinal villus,PMC10299641,ijms-24-10155-g006,female,50,um
intestinal villus,PMC10299641,ijms-24-10155-g006,female,50,um
liver lobule,PMC10269919,spectrum.05176-22-f004,male,100,um
liver lobule,PMC10269919,spectrum.05176-22-f004,male,100,um
liver lobule,PMC10269919,spectrum.05176-22-f004,male,100,um
intestinal villus,PMC10299641,ijms-24-10155-g004,female,50,um
papillary layer of dermis,PMC10317950,13244_2023_1417_Fig16_HTML,female,50,um
papillary layer of dermis,PMC10317950,13244_2023_1417_Fig16_HTML,female,50,um
papillary layer of dermis,PMC10317950,13244_2023_1417_Fig29_HTML,male,50,um
red pulp of spleen,PMC10303942,pharmaceutics-15-01677-g009,female,25,um
red pulp of spleen,PMC10303942,pharmaceutics-15-01677-g009,female,25,um
red pulp of spleen,PMC10303942,pharmaceutics-15-01677-g009,female,10,um
white pulp of spleen,PMC10303942,pharmaceutics-15-01677-g009,female,25,um
white pulp of spleen,PMC10303942,pharmaceutics-15-01677-g009,female,25,um
white pulp of spleen,PMC10303942,pharmaceutics-15-01677-g009,female,10,um
