ftu,pmcid,graphic,sex_tag,value,unit
loop of Henle ascending limb thin segment,PMC6395713,41598_2019_39430_Fig5_HTML,male,20,um
loop of Henle ascending limb thin segment,PMC6395713,41598_2019_39430_Fig5_HTML,male,10,um
nephron,PMC6395713,41598_2019_39430_Fig5_HTML,male,20,um
nephron,PMC6395713,41598_2019_39430_Fig5_HTML,male,10,um
nephron,PMC9114725,fendo-13-897196-g002,male,20,um
nephron,PMC9114725,fendo-13-897196-g002,male,20,um
papillary layer of dermis,PMC9120110,41467_2022_30471_Fig2_HTML,male,500,um
papillary layer of dermis,PMC9120110,41467_2022_30471_Fig2_HTML,female,500,um
papillary layer of dermis,PMC9120110,41467_2022_30471_Fig1_HTML,male,500,um
alveolus of lung,PMC10868682,JAVAR-10-720-g007,male,100,um
white pulp of spleen,PMC10868682,JAVAR-10-720-g007,male,100,um
nephron,PMC10868682,JAVAR-10-720-g007,male,100,um
red pulp of spleen,PMC10868682,JAVAR-10-720-g007,male,100,um
alveolus of lung,PMC10868682,JAVAR-10-720-g007,female,100,um
white pulp of spleen,PMC10868682,JAVAR-10-720-g007,female,100,um
nephron,PMC10868682,JAVAR-10-720-g007,female,100,um
red pulp of spleen,PMC10868682,JAVAR-10-720-g007,female,100,um
prostate glandular acinus,PMC9874957,RAF-22-0022fig1,male,50,um
prostate glandular acinus,PMC9874957,RAF-22-0022fig1,female,50,um
prostate glandular acinus,PMC9874957,RAF-22-0022fig1,male,50,um
epidermal ridge of digit,PMC5709413,41467_2017_2005_Fig1_HTML,female,25,um
white pulp of spleen,PMC5723638,fimmu-08-01712-g002,female,25,um
white pulp of spleen,PMC5723638,fimmu-08-01712-g002,female,100,um
red pulp of spleen,PMC5723638,fimmu-08-01712-g002,female,25,um
red pulp of spleen,PMC5723638,fimmu-08-01712-g002,female,100,um
white pulp of spleen,PMC5723638,fimmu-08-01712-g002,female,25,um
white pulp of spleen,PMC5723638,fimmu-08-01712-g002,female,100,um
red pulp of spleen,PMC5723638,fimmu-08-01712-g002,female,25,um
red pulp of spleen,PMC5723638,fimmu-08-01712-g002,female,100,um
white pulp of spleen,PMC5723638,fimmu-08-01712-g001,female,250,um
white pulp of spleen,PMC5723638,fimmu-08-01712-g001,female,100,um
white pulp of spleen,PMC5723638,fimmu-08-01712-g001,female,50,um
red pulp of spleen,PMC5723638,fimmu-08-01712-g001,female,250,um
red pulp of spleen,PMC5723638,fimmu-08-01712-g001,female,100,um
red pulp of spleen,PMC5723638,fimmu-08-01712-g001,female,50,um
white pulp of spleen,PMC5723638,fimmu-08-01712-g001,female,250,um
white pulp of spleen,PMC5723638,fimmu-08-01712-g001,female,100,um
white pulp of spleen,PMC5723638,fimmu-08-01712-g001,female,50,um
red pulp of spleen,PMC5723638,fimmu-08-01712-g001,female,250,um
red pulp of spleen,PMC5723638,fimmu-08-01712-g001,female,100,um
red pulp of spleen,PMC5723638,fimmu-08-01712-g001,female,50,um
white pulp of spleen,PMC5723638,fimmu-08-01712-g001,female,250,um
white pulp of spleen,PMC5723638,fimmu-08-01712-g001,female,100,um
white pulp of spleen,PMC5723638,fimmu-08-01712-g001,female,50,um
red pulp of spleen,PMC5723638,fimmu-08-01712-g001,female,250,um
red pulp of spleen,PMC5723638,fimmu-08-01712-g001,female,100,um
red pulp of spleen,PMC5723638,fimmu-08-01712-g001,female,50,um
white pulp of spleen,PMC5723638,fimmu-08-01712-g001,female,250,um
white pulp of spleen,PMC5723638,fimmu-08-01712-g001,female,100,um
white pulp of spleen,PMC5723638,fimmu-08-01712-g001,female,50,um
red pulp of spleen,PMC5723638,fimmu-08-01712-g001,female,250,um
red pulp of spleen,PMC5723638,fimmu-08-01712-g001,female,100,um
red pulp of spleen,PMC5723638,fimmu-08-01712-g001,female,50,um
white pulp of spleen,PMC5723638,fimmu-08-01712-g001,male,250,um
white pulp of spleen,PMC5723638,fimmu-08-01712-g001,male,100,um
white pulp of spleen,PMC5723638,fimmu-08-01712-g001,male,50,um
red pulp of spleen,PMC5723638,fimmu-08-01712-g001,male,250,um
red pulp of spleen,PMC5723638,fimmu-08-01712-g001,male,100,um
red pulp of spleen,PMC5723638,fimmu-08-01712-g001,male,50,um
white pulp of spleen,PMC5723638,fimmu-08-01712-g001,male,250,um
white pulp of spleen,PMC5723638,fimmu-08-01712-g001,male,100,um
white pulp of spleen,PMC5723638,fimmu-08-01712-g001,male,50,um
red pulp of spleen,PMC5723638,fimmu-08-01712-g001,male,250,um
red pulp of spleen,PMC5723638,fimmu-08-01712-g001,male,100,um
red pulp of spleen,PMC5723638,fimmu-08-01712-g001,male,50,um
prostate glandular acinus,PMC8165781,12958_2021_765_Fig1_HTML,female,100,um
intestinal villus,PMC8985411,fphar-13-849074-g001,female,100,um
intestinal villus,PMC8985411,fphar-13-849074-g001,female,100,um
papillary layer of dermis,PMC8998132,cells-11-01151-g001,male,200,um
papillary layer of dermis,PMC8998132,cells-11-01151-g001,male,100,um
papillary layer of dermis,PMC8998132,cells-11-01151-g001,male,100,um
pancreatic acinus,PMC10486483,cells-12-02185-g002,female,100,um
pancreatic acinus,PMC10486483,cells-12-02185-g002,female,100,um
pancreatic acinus,PMC10486483,cells-12-02185-g002,female,100,um
pancreatic acinus,PMC10486483,cells-12-02185-g002,female,100,um
liver lobule,PMC10486483,cells-12-02185-g002,female,100,um
liver lobule,PMC10486483,cells-12-02185-g002,female,100,um
liver lobule,PMC10486483,cells-12-02185-g002,female,100,um
liver lobule,PMC10486483,cells-12-02185-g002,female,100,um
islet of Langerhans,PMC10550192,pone.0292368.g001,female,50,um
epidermal ridge of digit,PMC10550192,pone.0292368.g001,female,50,um
crypt of Lieberkuhn of large intestine,PMC10550192,pone.0292368.g001,female,50,um
islet of Langerhans,PMC10550192,pone.0292368.g001,female,50,um
epidermal ridge of digit,PMC10550192,pone.0292368.g001,female,50,um
crypt of Lieberkuhn of large intestine,PMC10550192,pone.0292368.g001,female,50,um
islet of Langerhans,PMC10550192,pone.0292368.g001,female,50,um
epidermal ridge of digit,PMC10550192,pone.0292368.g001,female,50,um
crypt of Lieberkuhn of large intestine,PMC10550192,pone.0292368.g001,female,50,um
islet of Langerhans,PMC10550192,pone.0292368.g001,female,50,um
epidermal ridge of digit,PMC10550192,pone.0292368.g001,female,50,um
crypt of Lieberkuhn of large intestine,PMC10550192,pone.0292368.g001,female,50,um
islet of Langerhans,PMC10550192,pone.0292368.g001,male,50,um
epidermal ridge of digit,PMC10550192,pone.0292368.g001,male,50,um
crypt of Lieberkuhn of large intestine,PMC10550192,pone.0292368.g001,male,50,um
islet of Langerhans,PMC10550192,pone.0292368.g001,male,50,um
epidermal ridge of digit,PMC10550192,pone.0292368.g001,male,50,um
crypt of Lieberkuhn of large intestine,PMC10550192,pone.0292368.g001,male,50,um
cortical collecting duct,PMC10564818,401_2023_2628_Fig1_HTML,male,50,um
cortical collecting duct,PMC10564818,401_2023_2628_Fig1_HTML,male,100,um
cortical collecting duct,PMC10564818,401_2023_2628_Fig1_HTML,female,50,um
cortical collecting duct,PMC10564818,401_2023_2628_Fig1_HTML,female,100,um
nephron,PMC10548736,40360_2023_692_Fig8_HTML,male,50,um
nephron,PMC10548736,40360_2023_692_Fig8_HTML,female,50,um
nephron,PMC10548736,40360_2023_692_Fig8_HTML,female,50,um
nephron,PMC10548736,40360_2023_692_Fig8_HTML,female,50,um
nephron,PMC10670511,cells-12-02635-g002,female,20,um
nephron,PMC10670511,cells-12-02635-g002,female,100,um
nephron,PMC10670511,cells-12-02635-g002,female,100,um
prostate glandular acinus,PMC10275919,41419_2023_5882_Fig2_HTML,male,100,um
prostate glandular acinus,PMC10275919,41419_2023_5882_Fig2_HTML,female,100,um
intestinal villus,PMC7218578,12964_2020_579_Fig1_HTML,female,10,um
intestinal villus,PMC7218578,12964_2020_579_Fig1_HTML,female,10,um
nephron,PMC7228085,pone.0233163.g002,male,20,um
nephron,PMC7228085,pone.0233163.g002,male,100,um
prostate glandular acinus,PMC7228085,pone.0233163.g002,male,20,um
prostate glandular acinus,PMC7228085,pone.0233163.g002,male,100,um
intestinal villus,PMC7238656,13287_2020_1690_Fig4_HTML,male,2,um
intestinal villus,PMC7238656,13287_2020_1690_Fig4_HTML,female,2,um
cortical collecting duct,PMC3547069,pone.0053790.g003,male,25,um
nephron,PMC3547069,pone.0053790.g003,male,25,um
prostate glandular acinus,PMC3516513,pone.0050928.g004,female,10,um
prostate glandular acinus,PMC3516513,pone.0050928.g004,female,10,um
prostate glandular acinus,PMC3516513,pone.0050928.g004,male,10,um
prostate glandular acinus,PMC3516513,pone.0050928.g004,male,10,um
nephron,PMC3440087,ehp.1104711.g003,male,50,um
nephron,PMC3440087,ehp.1104711.g003,male,50,um
nephron,PMC3440087,ehp.1104711.g003,male,100,um
nephron,PMC3440087,ehp.1104711.g003,male,50,um
nephron,PMC3440087,ehp.1104711.g003,male,50,um
nephron,PMC3440087,ehp.1104711.g003,male,100,um
crypt of Lieberkuhn of large intestine,PMC3493455,pgen.1003048.g001,male,50,um
crypt of Lieberkuhn of large intestine,PMC3493455,pgen.1003048.g001,male,50,um
crypt of Lieberkuhn of large intestine,PMC3493455,pgen.1003048.g001,male,50,um
crypt of Lieberkuhn of large intestine,PMC3493455,pgen.1003048.g001,male,20,um
crypt of Lieberkuhn of large intestine,PMC3493455,pgen.1003048.g001,male,20,um
crypt of Lieberkuhn of large intestine,PMC3493455,pgen.1003048.g001,male,50,um
crypt of Lieberkuhn of large intestine,PMC3493455,pgen.1003048.g001,male,50,um
crypt of Lieberkuhn of large intestine,PMC3493455,pgen.1003048.g001,male,50,um
crypt of Lieberkuhn of large intestine,PMC3493455,pgen.1003048.g001,male,20,um
crypt of Lieberkuhn of large intestine,PMC3493455,pgen.1003048.g001,male,20,um
crypt of Lieberkuhn of large intestine,PMC3442290,oncotarget-03-651-g001,male,100,um
nephron,PMC3442290,oncotarget-03-651-g001,male,100,um
alveolus of lung,PMC10724440,ADVS-10-2302561-g001,male,200,um
nephron,PMC10724440,ADVS-10-2302561-g001,male,200,um
alveolus of lung,PMC10724440,ADVS-10-2302561-g001,male,200,um
nephron,PMC10724440,ADVS-10-2302561-g001,male,200,um
alveolus of lung,PMC10724440,ADVS-10-2302561-g001,female,200,um
nephron,PMC10724440,ADVS-10-2302561-g001,female,200,um
alveolus of lung,PMC10724440,ADVS-10-2302561-g001,female,200,um
nephron,PMC10724440,ADVS-10-2302561-g001,female,200,um
nephron,PMC10721625,41598_2023_49697_Fig3_HTML,male,1,um
nephron,PMC10721625,41598_2023_49697_Fig3_HTML,male,1,um
nephron,PMC10721625,41598_2023_49697_Fig3_HTML,female,1,um
nephron,PMC10721625,41598_2023_49697_Fig3_HTML,female,1,um
nephron,PMC10721625,41598_2023_49697_Fig3_HTML,male,1,um
nephron,PMC10721625,41598_2023_49697_Fig3_HTML,male,1,um
alveolus of lung,PMC10724440,ADVS-10-2302561-g006,female,200,um
nephron,PMC10724440,ADVS-10-2302561-g006,female,200,um
papillary layer of dermis,PMC11014660,jci-134-172836-g233,female,100,um
descending limb of loop of Henle,PMC11014660,jci-134-172836-g233,female,100,um
epidermal ridge of digit,PMC11019137,ACEL-23-e14096-g001,female,20,um
papillary layer of dermis,PMC11019137,ACEL-23-e14096-g001,female,20,um
epidermal ridge of digit,PMC11019137,ACEL-23-e14096-g001,female,20,um
papillary layer of dermis,PMC11019137,ACEL-23-e14096-g001,female,20,um
prostate glandular acinus,PMC10924360,12917_2024_3933_Fig6_HTML,female,50,um
liver lobule,PMC10883672,elife-82631-fig7,female,30,um
liver lobule,PMC10883672,elife-82631-fig7,female,30,um
prostate glandular acinus,PMC10924360,12917_2024_3933_Fig8_HTML,male,50,um
nephron,PMC11316121,41467_2024_50930_Fig2_HTML,male,50,um
nephron,PMC11316121,41467_2024_50930_Fig2_HTML,male,50,um
islet of Langerhans,PMC11343897,125_2024_6180_Fig5_HTML,female,20,um
islet of Langerhans,PMC11343897,125_2024_6180_Fig5_HTML,female,10,um
pancreatic acinus,PMC11343897,125_2024_6180_Fig5_HTML,female,20,um
pancreatic acinus,PMC11343897,125_2024_6180_Fig5_HTML,female,10,um
red pulp of spleen,PMC9143356,life-12-00610-g004,male,100,um
inner medullary collecting duct,PMC9157219,gr5,male,200,um
intercalated duct of pancreas,PMC9157219,gr5,male,200,um
cortical collecting duct,PMC9157219,gr5,male,200,um
descending limb of loop of Henle,PMC9157219,gr5,male,200,um
outer medullary collecting duct,PMC9157219,gr5,male,200,um
thick ascending limb of loop of Henle,PMC9157219,gr5,male,200,um
nephron,PMC9157219,gr5,male,200,um
loop of Henle ascending limb thin segment,PMC9157219,gr5,male,200,um
inner medullary collecting duct,PMC9157219,gr5,female,200,um
intercalated duct of pancreas,PMC9157219,gr5,female,200,um
cortical collecting duct,PMC9157219,gr5,female,200,um
descending limb of loop of Henle,PMC9157219,gr5,female,200,um
outer medullary collecting duct,PMC9157219,gr5,female,200,um
thick ascending limb of loop of Henle,PMC9157219,gr5,female,200,um
nephron,PMC9157219,gr5,female,200,um
loop of Henle ascending limb thin segment,PMC9157219,gr5,female,200,um
liver lobule,PMC7568540,41523_2020_196_Fig2_HTML,female,50,um
liver lobule,PMC7568540,41523_2020_196_Fig2_HTML,female,50,um
liver lobule,PMC7568540,41523_2020_196_Fig2_HTML,female,50,um
liver lobule,PMC7568540,41523_2020_196_Fig2_HTML,female,50,um
liver lobule,PMC7568540,41523_2020_196_Fig2_HTML,female,50,um
liver lobule,PMC7568540,41523_2020_196_Fig2_HTML,female,50,um
liver lobule,PMC7568540,41523_2020_196_Fig2_HTML,female,50,um
intestinal villus,PMC10180812,nutrients-15-02210-g003,male,50,um
intestinal villus,PMC10180812,nutrients-15-02210-g003,female,50,um
alveolus of lung,PMC10179638,ijms-24-08239-g008,male,500,um
epidermal ridge of digit,PMC10179638,ijms-24-08239-g008,male,500,um
alveolus of lung,PMC10179638,ijms-24-08239-g008,female,500,um
epidermal ridge of digit,PMC10179638,ijms-24-08239-g008,female,500,um
crypt of Lieberkuhn of large intestine,PMC10158032,ijbsv19p2150g001,male,50,um
crypt of Lieberkuhn of large intestine,PMC10158032,ijbsv19p2150g001,male,50,um
crypt of Lieberkuhn of large intestine,PMC10158032,ijbsv19p2150g001,female,50,um
crypt of Lieberkuhn of large intestine,PMC10158032,ijbsv19p2150g001,female,50,um
papillary layer of dermis,PMC9027842,membranes-12-00378-g002,female,100,um
papillary layer of dermis,PMC9027842,membranes-12-00378-g002,male,100,um
papillary layer of dermis,PMC9027842,membranes-12-00378-g002,male,100,um
descending limb of loop of Henle,PMC7817566,429_2020_2171_Fig4_HTML,female,50,um
descending limb of loop of Henle,PMC7817566,429_2020_2171_Fig4_HTML,female,250,um
loop of Henle ascending limb thin segment,PMC7817566,429_2020_2171_Fig4_HTML,female,50,um
loop of Henle ascending limb thin segment,PMC7817566,429_2020_2171_Fig4_HTML,female,250,um
islet of Langerhans,PMC7817608,429_2020_2189_Fig9_HTML,female,0.25,um
thick ascending limb of loop of Henle,PMC7817608,429_2020_2189_Fig9_HTML,female,0.25,um
papillary layer of dermis,PMC7815153,pone.0245581.g007,female,50,um
papillary layer of dermis,PMC7815153,pone.0245581.g007,female,100,um
thick ascending limb of loop of Henle,PMC10529547,pone.0292157.g006,male,2,um
thick ascending limb of loop of Henle,PMC10529547,pone.0292157.g006,female,2,um
crypt of Lieberkuhn of large intestine,PMC10502140,41467_2023_41473_Fig5_HTML,female,50,um
intestinal villus,PMC10502140,41467_2023_41473_Fig5_HTML,female,50,um
crypt of Lieberkuhn of large intestine,PMC10502140,41467_2023_41473_Fig5_HTML,female,50,um
intestinal villus,PMC10502140,41467_2023_41473_Fig5_HTML,female,50,um
crypt of Lieberkuhn of large intestine,PMC10502140,41467_2023_41473_Fig1_HTML,female,50,um
intestinal villus,PMC10502140,41467_2023_41473_Fig1_HTML,female,50,um
crypt of Lieberkuhn of large intestine,PMC10502140,41467_2023_41473_Fig1_HTML,female,50,um
intestinal villus,PMC10502140,41467_2023_41473_Fig1_HTML,female,50,um
crypt of Lieberkuhn of large intestine,PMC10502140,41467_2023_41473_Fig1_HTML,female,50,um
intestinal villus,PMC10502140,41467_2023_41473_Fig1_HTML,female,50,um
crypt of Lieberkuhn of large intestine,PMC10502140,41467_2023_41473_Fig1_HTML,female,50,um
intestinal villus,PMC10502140,41467_2023_41473_Fig1_HTML,female,50,um
crypt of Lieberkuhn of large intestine,PMC10502140,41467_2023_41473_Fig1_HTML,female,50,um
intestinal villus,PMC10502140,41467_2023_41473_Fig1_HTML,female,50,um
crypt of Lieberkuhn of large intestine,PMC10502140,41467_2023_41473_Fig1_HTML,female,50,um
intestinal villus,PMC10502140,41467_2023_41473_Fig1_HTML,female,50,um
crypt of Lieberkuhn of large intestine,PMC10502140,41467_2023_41473_Fig4_HTML,female,50,um
crypt of Lieberkuhn of large intestine,PMC10502140,41467_2023_41473_Fig4_HTML,female,50,um
intestinal villus,PMC10502140,41467_2023_41473_Fig4_HTML,female,50,um
intestinal villus,PMC10502140,41467_2023_41473_Fig4_HTML,female,50,um
crypt of Lieberkuhn of large intestine,PMC10502140,41467_2023_41473_Fig4_HTML,female,50,um
crypt of Lieberkuhn of large intestine,PMC10502140,41467_2023_41473_Fig4_HTML,female,50,um
intestinal villus,PMC10502140,41467_2023_41473_Fig4_HTML,female,50,um
intestinal villus,PMC10502140,41467_2023_41473_Fig4_HTML,female,50,um
pancreatic acinus,PMC4057195,pone.0099134.g006,male,200,um
intestinal villus,PMC4057195,pone.0099134.g006,male,200,um
pancreatic acinus,PMC4057195,pone.0099134.g006,male,200,um
intestinal villus,PMC4057195,pone.0099134.g006,male,200,um
pancreatic acinus,PMC4057195,pone.0099134.g006,male,200,um
intestinal villus,PMC4057195,pone.0099134.g006,male,200,um
bronchus submucosal gland,PMC4070981,pone.0100633.g001,female,50,um
intestinal villus,PMC4100457,BMRI2014-781632.006,female,20,um
islet of Langerhans,PMC4100457,BMRI2014-781632.006,female,20,um
intestinal villus,PMC4100457,BMRI2014-781632.006,female,20,um
islet of Langerhans,PMC4100457,BMRI2014-781632.006,female,20,um
islet of Langerhans,PMC10394089,41536_2023_303_Fig4_HTML,male,500,um
liver lobule,PMC10394089,41536_2023_303_Fig4_HTML,male,500,um
liver lobule,PMC10394089,41536_2023_303_Fig4_HTML,male,50,um
islet of Langerhans,PMC10394089,41536_2023_303_Fig4_HTML,male,50,um
intestinal villus,PMC10394089,41536_2023_303_Fig4_HTML,male,500,um
intestinal villus,PMC10394089,41536_2023_303_Fig4_HTML,male,50,um
crypt of Lieberkuhn of large intestine,PMC10394089,41536_2023_303_Fig4_HTML,male,500,um
crypt of Lieberkuhn of large intestine,PMC10394089,41536_2023_303_Fig4_HTML,male,50,um
pancreatic acinus,PMC10394089,41536_2023_303_Fig4_HTML,male,500,um
pancreatic acinus,PMC10394089,41536_2023_303_Fig4_HTML,male,50,um
thick ascending limb of loop of Henle,PMC10374841,fnins-17-929461-g0005,female,200,um
thick ascending limb of loop of Henle,PMC10374841,fnins-17-929461-g0005,male,200,um
nephron,PMC4197282,40659_2014_51_Fig4_HTML,male,50,um
nephron,PMC4197282,40659_2014_51_Fig4_HTML,male,50,um
intestinal villus,PMC4141702,imr0260-0183-f8,female,50,um
crypt of Lieberkuhn of large intestine,PMC4141702,imr0260-0183-f8,female,50,um
papillary layer of dermis,PMC4163368,BMRI2014-903589.002,male,20,um
nephron,PMC4223518,1472-6882-14-250-10,female,200,um
papillary layer of dermis,PMC4163368,BMRI2014-903589.003,male,6,um
epidermal ridge of digit,PMC4225516,1471-2121-14-50-3,male,25,um
epidermal ridge of digit,PMC4225516,1471-2121-14-50-3,male,10,um
nephron,PMC4225516,1471-2121-14-50-3,male,25,um
nephron,PMC4225516,1471-2121-14-50-3,male,10,um
nephron,PMC4197863,emmm0006-1161-f1,female,100,um
outer medullary collecting duct,PMC4197863,emmm0006-1161-f1,female,100,um
nephron,PMC4197863,emmm0006-1161-f1,female,100,um
outer medullary collecting duct,PMC4197863,emmm0006-1161-f1,female,100,um
crypt of Lieberkuhn of large intestine,PMC4152140,IJMM-34-04-0997-g01,male,50,um
crypt of Lieberkuhn of large intestine,PMC4152140,IJMM-34-04-0997-g01,male,200,um
crypt of Lieberkuhn of large intestine,PMC4152140,IJMM-34-04-0997-g01,female,50,um
crypt of Lieberkuhn of large intestine,PMC4152140,IJMM-34-04-0997-g01,female,200,um
nephron,PMC7041708,JEM_20182365_Fig2,male,50,um
nephron,PMC7041708,JEM_20182365_Fig2,male,10,um
nephron,PMC7041708,JEM_20182365_Fig2,male,10,um
nephron,PMC7041708,JEM_20182365_Fig2,male,50,um
nephron,PMC7041708,JEM_20182365_FigS4,male,10,um
nephron,PMC7041708,JEM_20182365_Fig3,male,10,um
nephron,PMC7041708,JEM_20182365_Fig3,male,10,um
descending limb of loop of Henle,PMC9643187,fneur-13-998904-g0011,female,50,um
thick ascending limb of loop of Henle,PMC9643187,fneur-13-998904-g0011,female,50,um
descending limb of loop of Henle,PMC9643187,fneur-13-998904-g0011,female,50,um
thick ascending limb of loop of Henle,PMC9643187,fneur-13-998904-g0011,female,50,um
descending limb of loop of Henle,PMC9643187,fneur-13-998904-g0011,female,50,um
thick ascending limb of loop of Henle,PMC9643187,fneur-13-998904-g0011,female,50,um
descending limb of loop of Henle,PMC9643187,fneur-13-998904-g0011,female,50,um
thick ascending limb of loop of Henle,PMC9643187,fneur-13-998904-g0011,female,50,um
nephron,PMC9630597,fcell-10-911664-g002,male,10,um
cortical collecting duct,PMC9629839,elife-80165-fig1-figsupp2,female,200,um
epidermal ridge of digit,PMC9629839,elife-80165-fig1-figsupp2,female,200,um
nephron,PMC9629839,elife-80165-fig1-figsupp2,female,200,um
nephron,PMC10572687,ijms-24-14598-g006,male,5,um
nephron,PMC10572687,ijms-24-14598-g006,male,100,um
crypt of Lieberkuhn of large intestine,PMC10572687,ijms-24-14598-g006,male,5,um
crypt of Lieberkuhn of large intestine,PMC10572687,ijms-24-14598-g006,male,100,um
nephron,PMC10572687,ijms-24-14598-g006,female,5,um
nephron,PMC10572687,ijms-24-14598-g006,female,100,um
crypt of Lieberkuhn of large intestine,PMC10572687,ijms-24-14598-g006,female,5,um
crypt of Lieberkuhn of large intestine,PMC10572687,ijms-24-14598-g006,female,100,um
red pulp of spleen,PMC7072207,cancers-12-00387-g005,male,50,um
red pulp of spleen,PMC7072207,cancers-12-00387-g005,female,50,um
thick ascending limb of loop of Henle,PMC10733536,fneur-14-1305093-g0002,female,50,um
intestinal villus,PMC9199156,12989_2022_481_Fig3_HTML,male,50,um
intestinal villus,PMC9199156,12989_2022_481_Fig3_HTML,male,50,um
intestinal villus,PMC9199156,12989_2022_481_Fig3_HTML,male,50,um
intestinal villus,PMC9199156,12989_2022_481_Fig3_HTML,male,50,um
intestinal villus,PMC9199156,12989_2022_481_Fig3_HTML,male,50,um
intestinal villus,PMC9199156,12989_2022_481_Fig3_HTML,male,50,um
intestinal villus,PMC9199156,12989_2022_481_Fig1_HTML,male,500,um
intestinal villus,PMC9199156,12989_2022_481_Fig1_HTML,male,500,um
intestinal villus,PMC9199156,12989_2022_481_Fig1_HTML,male,200,um
intestinal villus,PMC9199156,12989_2022_481_Fig1_HTML,male,200,um
intestinal villus,PMC9199156,12989_2022_481_Fig1_HTML,male,500,um
intestinal villus,PMC9199156,12989_2022_481_Fig1_HTML,male,500,um
intestinal villus,PMC9199156,12989_2022_481_Fig1_HTML,male,200,um
intestinal villus,PMC9199156,12989_2022_481_Fig1_HTML,male,200,um
intestinal villus,PMC9199156,12989_2022_481_Fig1_HTML,male,500,um
intestinal villus,PMC9199156,12989_2022_481_Fig1_HTML,male,500,um
intestinal villus,PMC9199156,12989_2022_481_Fig1_HTML,male,200,um
intestinal villus,PMC9199156,12989_2022_481_Fig1_HTML,male,200,um
intestinal villus,PMC9199156,12989_2022_481_Fig1_HTML,male,500,um
intestinal villus,PMC9199156,12989_2022_481_Fig1_HTML,male,500,um
intestinal villus,PMC9199156,12989_2022_481_Fig1_HTML,male,200,um
intestinal villus,PMC9199156,12989_2022_481_Fig1_HTML,male,200,um
intestinal villus,PMC9199156,12989_2022_481_Fig1_HTML,male,500,um
intestinal villus,PMC9199156,12989_2022_481_Fig1_HTML,male,500,um
intestinal villus,PMC9199156,12989_2022_481_Fig1_HTML,male,200,um
intestinal villus,PMC9199156,12989_2022_481_Fig1_HTML,male,200,um
intestinal villus,PMC9199156,12989_2022_481_Fig1_HTML,male,500,um
intestinal villus,PMC9199156,12989_2022_481_Fig1_HTML,male,500,um
intestinal villus,PMC9199156,12989_2022_481_Fig1_HTML,male,200,um
intestinal villus,PMC9199156,12989_2022_481_Fig1_HTML,male,200,um
intestinal villus,PMC9198953,ioac044f3,male,50,um
intestinal villus,PMC9198953,ioac044f3,female,50,um
intestinal villus,PMC9199156,12989_2022_481_Fig4_HTML,female,50,um
intestinal villus,PMC9199156,12989_2022_481_Fig4_HTML,female,50,um
intestinal villus,PMC9199156,12989_2022_481_Fig4_HTML,female,50,um
intestinal villus,PMC9199156,12989_2022_481_Fig4_HTML,female,50,um
intestinal villus,PMC9199156,12989_2022_481_Fig4_HTML,female,50,um
intestinal villus,PMC9199156,12989_2022_481_Fig4_HTML,female,50,um
intestinal villus,PMC9199156,12989_2022_481_Fig4_HTML,female,50,um
intestinal villus,PMC9199156,12989_2022_481_Fig4_HTML,female,50,um
red pulp of spleen,PMC9209380,12015_2022_10335_Fig5_HTML,female,100,um
intestinal villus,PMC9198953,ioac044f2,male,50,um
intestinal villus,PMC9198953,ioac044f2,female,50,um
intestinal villus,PMC9198953,ioac044f2,male,50,um
intestinal villus,PMC9198953,ioac044f2,female,50,um
cortical collecting duct,PMC8450124,CPR-54-e13108-g006,male,50,um
cortical collecting duct,PMC8450124,CPR-54-e13108-g006,male,50,um
cortical collecting duct,PMC8450124,CPR-54-e13108-g006,male,40,um
cortical collecting duct,PMC8450124,CPR-54-e13108-g006,female,50,um
cortical collecting duct,PMC8450124,CPR-54-e13108-g006,female,50,um
cortical collecting duct,PMC8450124,CPR-54-e13108-g006,female,40,um
epidermal ridge of digit,PMC6570838,40851_2019_135_Fig8_HTML,female,500,um
renal corpuscle,PMC6572442,ijerph-16-01726-g002,male,20,um
renal corpuscle,PMC6572442,ijerph-16-01726-g002,male,100,um
nephron,PMC6572442,ijerph-16-01726-g002,male,20,um
nephron,PMC6572442,ijerph-16-01726-g002,male,100,um
prostate glandular acinus,PMC9585726,12916_2022_2602_Fig3_HTML,male,50,um
prostate glandular acinus,PMC9585726,12916_2022_2602_Fig3_HTML,male,50,um
prostate glandular acinus,PMC9585726,12916_2022_2602_Fig3_HTML,male,50,um
prostate glandular acinus,PMC9585726,12916_2022_2602_Fig3_HTML,male,50,um
prostate glandular acinus,PMC9585726,12916_2022_2602_Fig3_HTML,male,50,um
papillary layer of dermis,PMC9584918,41598_2022_21510_Fig6_HTML,male,50,um
papillary layer of dermis,PMC9584918,41598_2022_21510_Fig6_HTML,male,200,um
papillary layer of dermis,PMC9584918,41598_2022_21510_Fig6_HTML,female,50,um
papillary layer of dermis,PMC9584918,41598_2022_21510_Fig6_HTML,female,200,um
intestinal villus,PMC9554955,fendo-13-1002279-g001,male,100,um
intestinal villus,PMC9554955,fendo-13-1002279-g001,male,100,um
intestinal villus,PMC9554955,fendo-13-1002279-g001,male,100,um
intestinal villus,PMC9554955,fendo-13-1002279-g001,male,100,um
intestinal villus,PMC9554955,fendo-13-1002279-g001,male,100,um
intestinal villus,PMC9554955,fendo-13-1002279-g001,male,100,um
crypt of Lieberkuhn of large intestine,PMC9532620,fimmu-13-1020413-g001,male,20,um
