"ftu","pmcid","graphic","value_new","standard_unit"
"nephron","PMC10296841","cells-12-01655-g005","200","um"
"descending limb of loop of Henle","PMC10013395","IRNF_A_2187236_F0001_C","100","um"
"nephron","PMC10013395","IRNF_A_2187236_F0001_C","100","um"
"papillary layer of dermis","PMC10035248","13287_2023_3281_Fig3_HTML","100","um"
"cortical collecting duct","PMC10137241","cells-12-01140-g002","20","um"
"inner medullary collecting duct","PMC10137241","cells-12-01140-g002","20","um"
"nephron","PMC10137241","cells-12-01140-g002","20","um"
"epidermal ridge of digit","PMC10173745","fpls-14-1141700-g005","500","um"
"epidermal ridge of digit","PMC10173745","fpls-14-1141700-g005","200","um"
"intestinal villus","PMC10174189","JEM_20221773_Fig7","25","um"
"intestinal villus","PMC10174189","JEM_20221773_Fig7","100","um"
"crypt of Lieberkuhn of large intestine","PMC10174189","JEM_20221773_Fig7","25","um"
"crypt of Lieberkuhn of large intestine","PMC10174189","JEM_20221773_Fig7","100","um"
"crypt of Lieberkuhn of large intestine","PMC10174329","fimmu-14-1016378-g001","50","um"
"crypt of Lieberkuhn of large intestine","PMC10174329","fimmu-14-1016378-g001","50","um"
"crypt of Lieberkuhn of large intestine","PMC10174329","fimmu-14-1016378-g001","50","um"
"papillary layer of dermis","PMC10196211","fragi-04-1154005-g001","100","um"
"epidermal ridge of digit","PMC10208979","41586_2023_5925_Fig4_HTML","5","um"
"epidermal ridge of digit","PMC10208979","41586_2023_5925_Fig4_HTML","100","nm"
"epidermal ridge of digit","PMC10208979","41586_2023_5925_Fig4_HTML","1","um"
"white pulp of spleen","PMC10224452","microorganisms-11-01304-g005","50","um"
"white pulp of spleen","PMC10224452","microorganisms-11-01304-g005","100","um"
"intestinal villus","PMC10224452","microorganisms-11-01304-g005","50","um"
"intestinal villus","PMC10224452","microorganisms-11-01304-g005","100","um"
"red pulp of spleen","PMC10224452","microorganisms-11-01304-g005","50","um"
"red pulp of spleen","PMC10224452","microorganisms-11-01304-g005","100","um"
"nephron","PMC10237479","pone.0286543.g003","100","um"
"red pulp of spleen","PMC10243800","jciinsight-8-168655-g116","10","um"
"white pulp of spleen","PMC10248722","fimmu-14-1208891-g004","50","um"
"crypt of Lieberkuhn of large intestine","PMC10248722","fimmu-14-1208891-g004","50","um"
"intestinal villus","PMC10248722","fimmu-14-1208891-g004","50","um"
"red pulp of spleen","PMC10248722","fimmu-14-1208891-g004","50","um"
"nephron","PMC10322853","41467_2023_39720_Fig4_HTML","6","mm"
"nephron","PMC10322853","41467_2023_39720_Fig4_HTML","2","mm"
"red pulp of spleen","PMC10000966","foods-12-01075-g001","10","um"
"red pulp of spleen","PMC10000966","foods-12-01075-g001","200","um"
"white pulp of spleen","PMC10025580","fendo-14-1108916-g002","100","um"
"red pulp of spleen","PMC10025580","fendo-14-1108916-g002","100","um"
"intestinal villus","PMC10030798","fvets-10-1127309-g0002","100","um"
"nephron","PMC10034064","fendo-14-1139121-g003","100","um"
"nephron","PMC10034064","fendo-14-1139121-g003","100","um"
"cortical collecting duct","PMC10046325","biomolecules-13-00402-g006","100","um"
"nephron","PMC10046325","biomolecules-13-00402-g006","100","um"
"nephron","PMC10050741","fphar-14-1145675-g005","50","um"
"nephron","PMC10050741","fphar-14-1145675-g005","25","um"
"liver lobule","PMC10065070","jci-133-163508-g089","100","um"
"pancreatic acinus","PMC10081898","IJD2023-1765317.003","30","um"
"liver lobule","PMC10081898","IJD2023-1765317.003","30","um"
"intestinal villus","PMC10093653","cells-12-01059-g003","10","um"
"crypt of Lieberkuhn of large intestine","PMC10093653","cells-12-01059-g003","10","um"
"pancreatic acinus","PMC10093653","cells-12-01059-g003","10","um"
"islet of Langerhans","PMC10135525","biomedicines-11-01064-g011","25","um"
"nephron","PMC10135525","biomedicines-11-01064-g011","25","um"
"pancreatic acinus","PMC10135525","biomedicines-11-01064-g011","25","um"
"liver lobule","PMC10135525","biomedicines-11-01064-g011","25","um"
"intestinal villus","PMC10138411","ijms-24-07108-g006","500","mm"
"nephron","PMC10138411","ijms-24-07108-g006","500","mm"
"crypt of Lieberkuhn of large intestine","PMC10138411","ijms-24-07108-g006","500","mm"
"prostate glandular acinus","PMC10138486","ijms-24-07418-g008","40","um"
"prostate glandular acinus","PMC10138486","ijms-24-07418-g008","30","um"
"prostate glandular acinus","PMC10138486","ijms-24-07418-g008","15","um"
"prostate glandular acinus","PMC10138486","ijms-24-07418-g008","12","um"
"prostate glandular acinus","PMC10138486","ijms-24-07418-g008","10","um"
"intestinal villus","PMC10184829","joces-137-260745-g5","5","um"
"intestinal villus","PMC10184829","joces-137-260745-g5","20","um"
"cortical collecting duct","PMC10184829","joces-137-260745-g5","5","um"
"cortical collecting duct","PMC10184829","joces-137-260745-g5","20","um"
"nephron","PMC10184829","joces-137-260745-g5","5","um"
"nephron","PMC10184829","joces-137-260745-g5","20","um"
"nephron","PMC10192151","418_2022_2178_Fig1_HTML","30","um"
"liver lobule","PMC10192634","fmolb-10-1172403-g001","100","um"
"liver lobule","PMC10192634","fmolb-10-1172403-g001","50","um"
"thymus lobule","PMC10192634","fmolb-10-1172403-g001","100","um"
"thymus lobule","PMC10192634","fmolb-10-1172403-g001","50","um"
"epidermal ridge of digit","PMC10212696","CPR-56-e13458-g006","20","um"
"red pulp of spleen","PMC10216638","cancers-15-02816-g004","20","um"
"red pulp of spleen","PMC10216638","cancers-15-02816-g004","20","um"
"red pulp of spleen","PMC10232359","41590_2023_1484_Fig10_ESM","3","um"
"islet of Langerhans","PMC10241801","41598_2023_35820_Fig2_HTML","400","um"
"islet of Langerhans","PMC10241801","41598_2023_35820_Fig2_HTML","100","um"
"islet of Langerhans","PMC10241801","41598_2023_35820_Fig2_HTML","100","um"
"islet of Langerhans","PMC10241801","41598_2023_35820_Fig2_HTML","10","mm"
"islet of Langerhans","PMC10241801","41598_2023_35820_Fig2_HTML","10","mm"
"islet of Langerhans","PMC10241801","41598_2023_35820_Fig2_HTML","500","um"
"islet of Langerhans","PMC10241801","41598_2023_35820_Fig2_HTML","500","um"
"islet of Langerhans","PMC10241801","41598_2023_35820_Fig2_HTML","400","um"
"pancreatic acinus","PMC10241801","41598_2023_35820_Fig2_HTML","400","um"
"pancreatic acinus","PMC10241801","41598_2023_35820_Fig2_HTML","100","um"
"pancreatic acinus","PMC10241801","41598_2023_35820_Fig2_HTML","100","um"
"pancreatic acinus","PMC10241801","41598_2023_35820_Fig2_HTML","10","mm"
"pancreatic acinus","PMC10241801","41598_2023_35820_Fig2_HTML","10","mm"
"pancreatic acinus","PMC10241801","41598_2023_35820_Fig2_HTML","500","um"
"pancreatic acinus","PMC10241801","41598_2023_35820_Fig2_HTML","500","um"
"pancreatic acinus","PMC10241801","41598_2023_35820_Fig2_HTML","400","um"
"papillary layer of dermis","PMC10266548","fragi-04-1178566-g001","50","um"
"epidermal ridge of digit","PMC10266548","fragi-04-1178566-g001","50","um"
"intestinal villus","PMC10283253","40168_2023_1569_Fig3_HTML","500","um"
"intestinal villus","PMC10283253","40168_2023_1569_Fig3_HTML","100","um"
"intestinal villus","PMC10283253","40168_2023_1569_Fig3_HTML","100","um"
"islet of Langerhans","PMC10313850","441_2023_3766_Fig7_HTML","30","um"
"pancreatic acinus","PMC10313850","441_2023_3766_Fig7_HTML","30","um"
"nephron","PMC10331609","fphys-14-1208105-g007","100","um"
"crypt of Lieberkuhn of large intestine","PMC10040611","fcell-11-1151790-g003","500","um"
"papillary layer of dermis","PMC10043290","41467_2023_37256_Fig2_HTML","50","um"
"cortical collecting duct","PMC10046325","biomolecules-13-00402-g007","100","um"
"nephron","PMC10046325","biomolecules-13-00402-g007","100","um"
"crypt of Lieberkuhn of large intestine","PMC10046606","biomolecules-13-00449-g005","100","um"
"white pulp of spleen","PMC10049502","ijms-24-05156-g005","50","um"
"red pulp of spleen","PMC10049502","ijms-24-05156-g005","50","um"
"epidermal ridge of digit","PMC10061015","fnagi-15-1110520-g001","50","um"
"epidermal ridge of digit","PMC10061015","fnagi-15-1110520-g001","50","um"
"epidermal ridge of digit","PMC10061015","fnagi-15-1110520-g001","20","um"
"nephron","PMC10069964","ajprenal.00237.2022_f003","100","um"
"papillary layer of dermis","PMC10074106","EMBR-24-e55069-g011","50","um"
"papillary layer of dermis","PMC10074106","EMBR-24-e55069-g011","200","um"
"epidermal ridge of digit","PMC10090450","fchem-11-1166313-g002","5","um"
"liver lobule","PMC10093225","cells-12-00976-g004","20","um"
"liver lobule","PMC10093225","cells-12-00976-g004","50","um"
"prostate glandular acinus","PMC10138486","ijms-24-07418-g009","15","um"
"prostate glandular acinus","PMC10138486","ijms-24-07418-g009","40","um"
"nephron","PMC10138964","ijms-24-07365-g006","50","um"
"nephron","PMC10138964","ijms-24-07365-g006","200","um"
"islet of Langerhans","PMC10154029","elife-84375-fig4","5","um"
"islet of Langerhans","PMC10154029","elife-84375-fig4","10","um"
"crypt of Lieberkuhn of large intestine","PMC10154029","elife-84375-fig4","5","um"
"crypt of Lieberkuhn of large intestine","PMC10154029","elife-84375-fig4","10","um"
"papillary layer of dermis","PMC10162669","sciadv.adg7397-f6","50","um"
"nephron","PMC10240827","thnov13p2757g008","50","um"
"pancreatic acinus","PMC10255094","SN-JNSJ230309F006","200","nm"
"renal corpuscle","PMC10259099","10.1177_20543581231165716-fig3","25","um"
"renal corpuscle","PMC10259099","10.1177_20543581231165716-fig3","200","um"
"cortical collecting duct","PMC10259099","10.1177_20543581231165716-fig3","25","um"
"cortical collecting duct","PMC10259099","10.1177_20543581231165716-fig3","200","um"
"nephron","PMC10259099","10.1177_20543581231165716-fig3","25","um"
"nephron","PMC10259099","10.1177_20543581231165716-fig3","200","um"
"pancreatic acinus","PMC10266776","jci-133-163873-g152","50","um"
"papillary layer of dermis","PMC10266776","jci-133-163873-g152","50","um"
"white pulp of spleen","PMC10269787","spectrum.04337-22-f004","10","um"
"red pulp of spleen","PMC10269787","spectrum.04337-22-f004","10","um"
"nephron","PMC10299707","ijms-24-10362-g001","50","um"
"intestinal villus","PMC10018364","gkad042fig1","50","um"
"crypt of Lieberkuhn of large intestine","PMC10018364","gkad042fig1","50","um"
"nephron","PMC10040733","gr3","50","um"
"nephron","PMC10040733","gr3","50","um"
"islet of Langerhans","PMC10056758","pharmaceutics-15-00820-g009","1000","um"
"crypt of Lieberkuhn of large intestine","PMC10056758","pharmaceutics-15-00820-g009","1000","um"
"intestinal villus","PMC10056758","pharmaceutics-15-00820-g009","1000","um"
"nephron","PMC10124827","pone.0284816.g003","50","um"
"nephron","PMC10124827","pone.0284816.g003","50","um"
"intestinal villus","PMC10147554","gr1","100","um"
"nephron","PMC10147554","gr1","100","um"
"white pulp of spleen","PMC10147554","gr1","100","um"
"red pulp of spleen","PMC10147554","gr1","100","um"
"renal corpuscle","PMC10185611","210_2022_2380_Fig10_HTML","30","um"
"nephron","PMC10185611","210_2022_2380_Fig10_HTML","30","um"
"nephron","PMC10262054","fcell-11-1195037-g002","50","um"
"nephron","PMC10262054","fcell-11-1195037-g002","2","um"
"nephron","PMC10262054","fcell-11-1195037-g002","1","um"
"nephron","PMC10266606","pone.0278009.g006","50","um"
"nephron","PMC10266606","pone.0278009.g006","20","um"
"epidermal ridge of digit","PMC10284692","41586_2023_6172_Fig11_ESM","100","um"
"epidermal ridge of digit","PMC10298320","ijms-24-10092-g001","1","mm"
"papillary layer of dermis","PMC10315693","jnumed.123.265891f6","1.5","mm"
"papillary layer of dermis","PMC10013809","BTM2-8-e10412-g006","5","mm"
"crypt of Lieberkuhn of large intestine","PMC10023162","elife-80768-fig4","50","um"
"papillary layer of dermis","PMC10023162","elife-80768-fig4","50","um"
"islet of Langerhans","PMC10029195","12915_2023_1553_Fig3_HTML","50","um"
"islet of Langerhans","PMC10029195","12915_2023_1553_Fig3_HTML","50","um"
"pancreatic acinus","PMC10029195","12915_2023_1553_Fig3_HTML","50","um"
"pancreatic acinus","PMC10029195","12915_2023_1553_Fig3_HTML","50","um"
"epidermal ridge of digit","PMC10035757","nihms-1882206-f0011","300","um"
"epidermal ridge of digit","PMC10035757","nihms-1882206-f0011","300","um"
"intestinal villus","PMC10065446","sciadv.adf4055-f2","5","um"
"crypt of Lieberkuhn of large intestine","PMC10065446","sciadv.adf4055-f2","5","um"
"intestinal villus","PMC10093653","cells-12-01059-g004","10","um"
"crypt of Lieberkuhn of large intestine","PMC10093653","cells-12-01059-g004","10","um"
"pancreatic acinus","PMC10093653","cells-12-01059-g004","10","um"
"descending limb of loop of Henle","PMC10095167","ijms-24-06782-g004","100","um"
"epidermal ridge of digit","PMC10095167","ijms-24-06782-g004","100","um"
"cortical collecting duct","PMC10112930","develop-150-201238-g3","10","um"
"crypt of Lieberkuhn of large intestine","PMC10124839","pone.0273960.g001","35","um"
"intestinal villus","PMC10187319","nihpp-2023.05.05.539132v2-f0004","20","um"
"crypt of Lieberkuhn of large intestine","PMC10209017","gr1","50","um"
"crypt of Lieberkuhn of large intestine","PMC10209017","gr1","20","um"
"cortical collecting duct","PMC10215747","biomedicines-11-01321-g002","100","um"
"nephron","PMC10215747","biomedicines-11-01321-g002","100","um"
"crypt of Lieberkuhn of large intestine","PMC10222469","metabolites-13-00650-g002","50","um"
"white pulp of spleen","PMC10273353","JOA-243-90-g005","200","um"
"red pulp of spleen","PMC10273353","JOA-243-90-g005","200","um"
"red pulp of spleen","PMC10329399","13287_2023_3401_Fig4_HTML","400","um"
"red pulp of spleen","PMC10329399","13287_2023_3401_Fig4_HTML","100","um"
"intestinal villus","PMC10022468","fendo-14-1021640-g005","100","um"
"alveolus of lung","PMC10038356","oncotarget-14-27728-g001","100","um"
"pancreatic acinus","PMC10038356","oncotarget-14-27728-g001","100","um"
"papillary layer of dermis","PMC10038356","oncotarget-14-27728-g001","100","um"
"intestinal villus","PMC10048960","ijms-24-05075-g001","1000","um"
"intestinal villus","PMC10048960","ijms-24-05075-g001","100","um"
"papillary layer of dermis","PMC10048960","ijms-24-05075-g001","1000","um"
"papillary layer of dermis","PMC10048960","ijms-24-05075-g001","100","um"
"prostate glandular acinus","PMC10051346","nutrients-15-01407-g001","100","um"
"prostate glandular acinus","PMC10051346","nutrients-15-01407-g002","100","um"
"crypt of Lieberkuhn of large intestine","PMC10093464","cells-12-01039-g008","50","um"
"crypt of Lieberkuhn of large intestine","PMC10093464","cells-12-01039-g008","20","um"
"crypt of Lieberkuhn of large intestine","PMC10093464","cells-12-01039-g008","20","um"
"crypt of Lieberkuhn of large intestine","PMC10093464","cells-12-01039-g008","100","um"
"red pulp of spleen","PMC10095426","ijms-24-06622-g007","20","um"
"epidermal ridge of digit","PMC10137682","fchem-11-1161775-g004","20","um"
"papillary layer of dermis","PMC10141228","pharmaceutics-15-01201-g008","100","um"
"nephron","PMC10167055","fcell-11-1126968-g003","50","um"
"nephron","PMC10167055","fcell-11-1126968-g003","200","um"
"nephron","PMC10167055","fcell-11-1126968-g005","20","um"
"nephron","PMC10167055","fcell-11-1126968-g005","50","um"
"nephron","PMC10177434","cancers-15-02586-g010a","50","um"
"pancreatic acinus","PMC10178810","ijms-24-07772-g003","10","um"
"crypt of Lieberkuhn of large intestine","PMC10185340","elife-78558-fig6-figsupp2","50","um"
"papillary layer of dermis","PMC10215821","animals-13-01681-g001","1","mm"
"papillary layer of dermis","PMC10215821","animals-13-01681-g001","100","um"
"papillary layer of dermis","PMC10215821","animals-13-01681-g001","100","um"
"papillary layer of dermis","PMC10215821","animals-13-01681-g001","100","um"
"papillary layer of dermis","PMC10215821","animals-13-01681-g001","100","um"
"papillary layer of dermis","PMC10215821","animals-13-01681-g001","1","mm"
"red pulp of spleen","PMC10222050","materials-16-03676-g003","10","um"
"red pulp of spleen","PMC10222050","materials-16-03676-g003","10","um"
"papillary layer of dermis","PMC10228551","nihms-1899388-f0004","200","um"
"papillary layer of dermis","PMC10228551","nihms-1899388-f0004","100","um"
"papillary layer of dermis","PMC10228551","nihms-1899388-f0004","1","mm"
"descending limb of loop of Henle","PMC10245895","nihpp-2023.05.22.541477v1-f0003","200","um"
"descending limb of loop of Henle","PMC10245895","nihpp-2023.05.22.541477v1-f0003","100","um"
"descending limb of loop of Henle","PMC10245895","nihpp-2023.05.22.541477v1-f0003","100","um"
"descending limb of loop of Henle","PMC10245895","nihpp-2023.05.22.541477v1-f0003","300","um"
"descending limb of loop of Henle","PMC10245895","nihpp-2023.05.22.541477v1-f0003","300","um"
"descending limb of loop of Henle","PMC10245895","nihpp-2023.05.22.541477v1-f0003","300","um"
"descending limb of loop of Henle","PMC10245895","nihpp-2023.05.22.541477v1-f0003","300","um"
"descending limb of loop of Henle","PMC10245895","nihpp-2023.05.22.541477v1-f0003","300","um"
"descending limb of loop of Henle","PMC10245895","nihpp-2023.05.22.541477v1-f0003","300","um"
"descending limb of loop of Henle","PMC10245895","nihpp-2023.05.22.541477v1-f0003","300","um"
"descending limb of loop of Henle","PMC10245895","nihpp-2023.05.22.541477v1-f0003","50","um"
"thick ascending limb of loop of Henle","PMC10245895","nihpp-2023.05.22.541477v1-f0003","200","um"
"thick ascending limb of loop of Henle","PMC10245895","nihpp-2023.05.22.541477v1-f0003","100","um"
"thick ascending limb of loop of Henle","PMC10245895","nihpp-2023.05.22.541477v1-f0003","100","um"
"thick ascending limb of loop of Henle","PMC10245895","nihpp-2023.05.22.541477v1-f0003","300","um"
"thick ascending limb of loop of Henle","PMC10245895","nihpp-2023.05.22.541477v1-f0003","300","um"
"thick ascending limb of loop of Henle","PMC10245895","nihpp-2023.05.22.541477v1-f0003","300","um"
"thick ascending limb of loop of Henle","PMC10245895","nihpp-2023.05.22.541477v1-f0003","300","um"
"thick ascending limb of loop of Henle","PMC10245895","nihpp-2023.05.22.541477v1-f0003","300","um"
"thick ascending limb of loop of Henle","PMC10245895","nihpp-2023.05.22.541477v1-f0003","300","um"
"thick ascending limb of loop of Henle","PMC10245895","nihpp-2023.05.22.541477v1-f0003","300","um"
"thick ascending limb of loop of Henle","PMC10245895","nihpp-2023.05.22.541477v1-f0003","50","um"
"epidermal ridge of digit","PMC10252989","ijms-24-09152-g007","1","mm"
"intestinal villus","PMC10299641","ijms-24-10155-g001","20","um"
"intestinal villus","PMC10299641","ijms-24-10155-g001","20","um"
"intestinal villus","PMC10299641","ijms-24-10155-g001","20","um"
"intestinal villus","PMC10299641","ijms-24-10155-g001","20","um"
"intestinal villus","PMC10299641","ijms-24-10155-g001","20","um"
"intestinal villus","PMC10299641","ijms-24-10155-g001","20","um"
"red pulp of spleen","PMC10302944","life-13-01337-g005","100","um"
"crypt of Lieberkuhn of large intestine","PMC10329801","40104_2023_895_Fig3_HTML","50","um"
"intestinal villus","PMC10100624","13567_2023_1169_Fig6_HTML","200","um"
"crypt of Lieberkuhn of large intestine","PMC10100624","13567_2023_1169_Fig6_HTML","200","um"
"epidermal ridge of digit","PMC10165953","IID3-11-e855-g007","100","um"
"alveolus of lung","PMC10218954","ijms-24-08841-g001","5","um"
"alveolus of lung","PMC10218954","ijms-24-08841-g001","2","um"
"prostate glandular acinus","PMC10218954","ijms-24-08841-g001","5","um"
"prostate glandular acinus","PMC10218954","ijms-24-08841-g001","2","um"
"intestinal villus","PMC10221438","marinedrugs-21-00265-g004","100","um"
"intestinal villus","PMC10221438","marinedrugs-21-00265-g004","100","um"
"crypt of Lieberkuhn of large intestine","PMC10221438","marinedrugs-21-00265-g004","100","um"
"crypt of Lieberkuhn of large intestine","PMC10221438","marinedrugs-21-00265-g004","100","um"
"islet of Langerhans","PMC10222296","pharmaceuticals-16-00649-g001","100","um"
"red pulp of spleen","PMC10222296","pharmaceuticals-16-00649-g001","100","um"
"pancreatic acinus","PMC10222296","pharmaceuticals-16-00649-g001","100","um"
"nephron","PMC10224201","pharmaceuticals-16-00692-g002","2000","um"
"nephron","PMC10224201","pharmaceuticals-16-00692-g002","2000","um"
"nephron","PMC10224201","pharmaceuticals-16-00692-g002","2000","um"
"nephron","PMC10224201","pharmaceuticals-16-00692-g002","200","um"
"nephron","PMC10224201","pharmaceuticals-16-00692-g002","200","um"
"nephron","PMC10224201","pharmaceuticals-16-00692-g002","200","um"
"descending limb of loop of Henle","PMC10238430","41368_2023_223_Fig3_HTML","25","um"
"descending limb of loop of Henle","PMC10238430","41368_2023_223_Fig3_HTML","100","um"
"descending limb of loop of Henle","PMC10238430","41368_2023_223_Fig3_HTML","10","um"
"descending limb of loop of Henle","PMC10238430","41368_2023_223_Fig3_HTML","10","um"
"renal corpuscle","PMC10247566","418_2023_2185_Fig2_HTML","25","um"
"renal corpuscle","PMC10247566","418_2023_2185_Fig2_HTML","100","um"
"liver lobule","PMC10247566","418_2023_2185_Fig2_HTML","25","um"
"liver lobule","PMC10247566","418_2023_2185_Fig2_HTML","100","um"
"thymus lobule","PMC10247566","418_2023_2185_Fig2_HTML","25","um"
"thymus lobule","PMC10247566","418_2023_2185_Fig2_HTML","100","um"
"epidermal ridge of digit","PMC10317972","42003_2023_5061_Fig6_HTML","500","um"
"epidermal ridge of digit","PMC10317972","42003_2023_5061_Fig6_HTML","5","mm"
"epidermal ridge of digit","PMC10317972","42003_2023_5061_Fig6_HTML","200","um"
"epidermal ridge of digit","PMC10317972","42003_2023_5061_Fig6_HTML","100","um"
"nephron","PMC10003153","ijms-24-04783-g003","50","um"
"nephron","PMC10003153","ijms-24-04783-g003","100","um"
"thick ascending limb of loop of Henle","PMC10003153","ijms-24-04783-g003","50","um"
"thick ascending limb of loop of Henle","PMC10003153","ijms-24-04783-g003","100","um"
"crypt of Lieberkuhn of large intestine","PMC10040611","fcell-11-1151790-g008","500","um"
"nephron","PMC10046457","biomolecules-13-00534-g003","50","um"
"alveolus of lung","PMC10056333","jfb-14-00170-g007","500","um"
"epidermal ridge of digit","PMC10056333","jfb-14-00170-g007","500","um"
"liver lobule","PMC10096807","molecules-28-03228-g008","100","mm"
"renal corpuscle","PMC10259099","10.1177_20543581231165716-fig5","50","um"
"cortical collecting duct","PMC10259099","10.1177_20543581231165716-fig5","50","um"
"nephron","PMC10259099","10.1177_20543581231165716-fig5","50","um"
"epidermal ridge of digit","PMC10316396","jp3c01446_0001","20","um"
"descending limb of loop of Henle","PMC10324360","CNS-29-1981-g003","200","um"
"descending limb of loop of Henle","PMC10324360","CNS-29-1981-g003","200","um"
"thick ascending limb of loop of Henle","PMC10324360","CNS-29-1981-g003","200","um"
"thick ascending limb of loop of Henle","PMC10324360","CNS-29-1981-g003","200","um"
"crypt of Lieberkuhn of large intestine","PMC10019568","pwac015f0001","1","um"
"crypt of Lieberkuhn of large intestine","PMC10019568","pwac015f0001","5","um"
"crypt of Lieberkuhn of large intestine","PMC10019568","pwac015f0001","200","nm"
"crypt of Lieberkuhn of large intestine","PMC10019568","pwac015f0001","1","um"
"crypt of Lieberkuhn of large intestine","PMC10019568","pwac015f0001","1","um"
"intestinal villus","PMC10022468","fendo-14-1021640-g003","100","um"
"intestinal villus","PMC10048960","ijms-24-05075-g005","500","um"
"papillary layer of dermis","PMC10048960","ijms-24-05075-g005","500","um"
"papillary layer of dermis","PMC10070111","jciinsight-8-157091-g054","100","um"
"islet of Langerhans","PMC10077489","jciinsight-8-154164-g194","5","um"
"islet of Langerhans","PMC10077489","jciinsight-8-154164-g194","40","um"
"nephron","PMC10077489","jciinsight-8-154164-g194","5","um"
"nephron","PMC10077489","jciinsight-8-154164-g194","40","um"
"red pulp of spleen","PMC10077624","12903_2023_2905_Fig5_HTML","200","um"
"nephron","PMC10100819","spectrum.04273-22-f004","100","um"
"intestinal villus","PMC10100819","spectrum.04273-22-f004","100","um"
"intestinal villus","PMC10100858","spectrum.04698-22-f010","100","um"
"nephron","PMC10116870","fmed-10-1130112-g0003","6","um"
"nephron","PMC10116870","fmed-10-1130112-g0003","2","um"
"nephron","PMC10116870","fmed-10-1130112-g0003","2","um"
"nephron","PMC10116870","fmed-10-1130112-g0003","10","um"
"white pulp of spleen","PMC10122329","40824_2023_378_Fig6_HTML","100","um"
"nephron","PMC10135853","biology-12-00625-g003","5","um"
"nephron","PMC10135853","biology-12-00625-g003","3","um"
"nephron","PMC10135853","biology-12-00625-g003","10","um"
"epidermal ridge of digit","PMC10151754","fcell-11-1165125-g007","20","um"
"epidermal ridge of digit","PMC10151754","fcell-11-1165125-g007","20","um"
"epidermal ridge of digit","PMC10151754","fcell-11-1165125-g007","20","um"
"epidermal ridge of digit","PMC10151754","fcell-11-1165125-g007","20","um"
"nephron","PMC10170166","41467_2023_37947_Fig3_HTML","20","um"
"nephron","PMC10170166","41467_2023_37947_Fig3_HTML","20","um"
"nephron","PMC10170166","41467_2023_37947_Fig3_HTML","20","um"
"nephron","PMC10170166","41467_2023_37947_Fig3_HTML","10","um"
"nephron","PMC10170166","41467_2023_37947_Fig3_HTML","10","um"
"nephron","PMC10170166","41467_2023_37947_Fig3_HTML","5","um"
"nephron","PMC10170166","41467_2023_37947_Fig3_HTML","5","um"
"nephron","PMC10170166","41467_2023_37947_Fig3_HTML","5","um"
"nephron","PMC10170166","41467_2023_37947_Fig3_HTML","5","um"
"epidermal ridge of digit","PMC10170166","41467_2023_37947_Fig3_HTML","20","um"
"epidermal ridge of digit","PMC10170166","41467_2023_37947_Fig3_HTML","20","um"
"epidermal ridge of digit","PMC10170166","41467_2023_37947_Fig3_HTML","20","um"
"epidermal ridge of digit","PMC10170166","41467_2023_37947_Fig3_HTML","10","um"
"epidermal ridge of digit","PMC10170166","41467_2023_37947_Fig3_HTML","10","um"
"epidermal ridge of digit","PMC10170166","41467_2023_37947_Fig3_HTML","5","um"
"epidermal ridge of digit","PMC10170166","41467_2023_37947_Fig3_HTML","5","um"
"epidermal ridge of digit","PMC10170166","41467_2023_37947_Fig3_HTML","5","um"
"epidermal ridge of digit","PMC10170166","41467_2023_37947_Fig3_HTML","5","um"
"thick ascending limb of loop of Henle","PMC10170166","41467_2023_37947_Fig3_HTML","20","um"
"thick ascending limb of loop of Henle","PMC10170166","41467_2023_37947_Fig3_HTML","20","um"
"thick ascending limb of loop of Henle","PMC10170166","41467_2023_37947_Fig3_HTML","20","um"
"thick ascending limb of loop of Henle","PMC10170166","41467_2023_37947_Fig3_HTML","10","um"
"thick ascending limb of loop of Henle","PMC10170166","41467_2023_37947_Fig3_HTML","10","um"
"thick ascending limb of loop of Henle","PMC10170166","41467_2023_37947_Fig3_HTML","5","um"
"thick ascending limb of loop of Henle","PMC10170166","41467_2023_37947_Fig3_HTML","5","um"
"thick ascending limb of loop of Henle","PMC10170166","41467_2023_37947_Fig3_HTML","5","um"
"thick ascending limb of loop of Henle","PMC10170166","41467_2023_37947_Fig3_HTML","5","um"
"red pulp of spleen","PMC10179513","ijms-24-08214-g004","50","um"
"cortical collecting duct","PMC10213973","fcell-11-1128456-g004","100","um"
"outer medullary collecting duct","PMC10213973","fcell-11-1128456-g004","100","um"
"papillary layer of dermis","PMC10213973","fcell-11-1128456-g004","100","um"
"inner medullary collecting duct","PMC10213973","fcell-11-1128456-g004","100","um"
"intercalated duct of pancreas","PMC10213973","fcell-11-1128456-g004","100","um"
"nephron","PMC10213973","fcell-11-1128456-g004","100","um"
"alveolus of lung","PMC10216378","biomedicines-11-01352-g005","50","um"
"alveolus of lung","PMC10216378","biomedicines-11-01352-g005","50","um"
"red pulp of spleen","PMC10216378","biomedicines-11-01352-g005","50","um"
"red pulp of spleen","PMC10216378","biomedicines-11-01352-g005","50","um"
"descending limb of loop of Henle","PMC10224984","41467_2023_38647_Fig7_HTML","500","um"
"descending limb of loop of Henle","PMC10224984","41467_2023_38647_Fig7_HTML","20","um"
"descending limb of loop of Henle","PMC10224984","41467_2023_38647_Fig7_HTML","100","um"
"nephron","PMC10247533","nihms-1892904-f0001","25","um"
"pancreatic acinus","PMC10247533","nihms-1892904-f0001","25","um"
